"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	
267	420	366	176	552	134	106	139	208	220	409	198	147	262	147	266	124	805	1196	317	594	146	168	442	134	208	421	222	297	148	185	155	272	226	159	122	95	106	356	114	
270	440	380	160	620	130	110	140	250	270	440	220	180	270	140	300	130	970	1260	390	680	200	200	450	160	230	480	230	320	150	200	170	320	260	180	140	100	130	380	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
217	320	285	135	418	83	85	107	182	165	355	160	131	202	113	207	98	601	909	282	464	139	138	283	109	171	344	148	241	119	149	118	216	179	135	105	78	90	265	79	
29	61	45	15	84	45	9	24	22	32	44	28	11	29	16	39	12	77	80	27	92	7	17	108	20	32	65	63	45	13	22	18	36	28	19	11	8	9	59	21	
24	59	50	10	118	2	16	9	46	73	41	32	38	39	11	54	20	292	271	81	124	54	45	59	31	27	71	19	34	18	29	34	68	53	26	24	14	31	56	10	
29	61	45	15	84	45	9	24	22	32	44	28	11	29	16	39	12	77	80	27	92	7	17	108	20	32	65	63	45	13	22	18	36	28	19	11	8	9	59	21	
217	320	285	135	418	83	85	107	182	165	355	160	131	202	113	207	98	601	909	282	464	139	138	283	109	171	344	148	241	119	149	118	216	179	135	105	78	90	265	79	
1	5	5	2	14	0	0	0	1	0	1	4	3	2	3	8	2	13	20	2	11	2	2	8	2	3	3	0	5	3	6	1	5	7	1	0	1	2	2	1	
245	376	325	148	488	128	94	131	203	197	398	184	139	229	126	238	108	665	969	307	545	144	153	383	127	200	406	211	281	129	165	135	247	200	153	116	85	97	322	99	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	0	0	0	0	1	1	1	1	0	0	2	0	1	1	3	6	3	1	2	0	5	1	4	2	1	1	1	1	0	1	1	0	1	0	0	3	1	
28	50	50	18	61	3	18	11	20	20	35	19	19	22	11	29	13	84	124	32	71	24	17	44	11	15	41	16	39	25	15	15	31	25	18	12	4	3	50	14	
14	14	7	3	22	2	5	7	12	13	20	11	12	8	8	20	6	32	46	15	33	8	13	22	6	5	21	6	9	8	7	1	11	9	4	4	8	6	9	9	
201	304	262	125	396	121	69	112	166	158	332	151	106	195	104	183	87	531	775	251	427	104	121	301	106	173	336	182	225	93	141	116	203	165	129	93	69	86	254	74	
1	5	0	0	4	1	1	0	0	3	5	0	1	1	2	1	1	6	4	3	5	3	0	5	1	0	2	1	3	1	1	0	1	0	0	2	0	0	4	0	
1	2	2	1	3	1	0	0	2	2	3	1	1	0	0	2	0	7	8	0	7	2	1	5	2	3	2	4	2	1	0	2	0	0	1	3	3	2	1	1	
0	0	1	0	2	0	1	0	1	0	1	2	0	1	1	1	0	2	3	3	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	
0	1	2	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	1	1	0	0	0	0	
