"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	
640	519	611	237	162	361	331	315	211	167	
660	550	600	230	160	350	340	330	220	160	
0	0	0	0	0	0	0	0	0	0	
454	345	285	136	100	211	192	203	164	103	
74	70	123	57	33	70	53	50	26	36	
132	135	192	37	27	69	95	77	30	21	
74	70	123	57	33	70	53	50	26	36	
454	345	285	136	100	211	192	203	164	103	
0	7	3	0	0	0	1	0	0	1	
528	408	405	193	133	281	244	253	190	138	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

6	0	5	2	1	1	1	1	0	0	
78	53	63	10	6	27	26	44	17	17	
40	48	35	19	13	8	19	9	17	10	
389	294	291	155	110	241	197	193	153	109	
4	5	1	1	2	0	0	5	0	1	
8	6	7	2	1	4	0	1	2	1	
3	1	2	2	0	0	1	0	1	0	
0	1	1	2	0	0	0	0	0	0	
