"УИК №4001"	"УИК №4002"	"УИК №4003"	"УИК №4004"	"УИК №4005"	"УИК №4006"	"УИК №4007"	"УИК №4008"	"УИК №4009"	"УИК №4010"	"УИК №4011"	"УИК №4012"	"УИК №4013"	"УИК №4014"	"УИК №4015"	"УИК №4016"	"УИК №4017"	"УИК №4018"	"УИК №4019"	"УИК №4020"	"УИК №4021"	"УИК №4022"	"УИК №4023"	"УИК №4024"	"УИК №4025"	"УИК №4026"	"УИК №4027"	"УИК №4028"	"УИК №4029"	"УИК №4030"	"УИК №4031"	"УИК №4032"	"УИК №4033"	"УИК №4034"	"УИК №4035"	"УИК №4036"	"УИК №4037"	"УИК №4038"	"УИК №4039"	"УИК №4040"	"УИК №4041"	"УИК №4042"	"УИК №4043"	"УИК №4044"	"УИК №4045"	"УИК №4046"	"УИК №4047"	"УИК №4048"	"УИК №4049"	"УИК №4050"	"УИК №4051"	"УИК №4052"	"УИК №4053"	"УИК №4054"	"УИК №4055"	"УИК №4056"	"УИК №4057"	"УИК №4058"	
2285	1679	2261	2110	1915	2073	2017	1959	1701	2340	2169	2229	1351	1595	2403	2701	2365	1777	2172	2056	2095	1971	2305	2320	2206	1961	2135	2046	2095	2082	2020	2110	2116	2411	2172	2020	2435	1561	2431	2480	2775	2627	1669	2320	2604	2617	1560	1613	1910	1591	2263	2223	2347	2333	2714	1307	236	414	
2000	1500	2000	2000	1500	2000	2000	1500	1500	2000	2000	2000	1000	1500	2000	2500	2000	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	2000	2500	2500	2000	1500	2000	2500	2500	1100	1500	1500	1500	2000	2000	2000	2000	2000	1000	233	417	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1372	872	1286	1263	1069	1170	1209	1101	1011	1439	1464	1321	854	1008	1516	1777	1467	714	1274	1085	1211	1156	1301	1246	1273	1125	1237	1135	1177	1198	1127	1143	1130	1267	1068	1045	1389	792	1293	1374	1499	1252	738	989	1425	1353	726	846	910	851	1111	1099	1469	1430	1207	772	170	259	
61	67	39	67	45	56	64	128	50	47	36	50	21	24	38	42	41	15	40	46	47	49	43	57	36	36	34	50	82	62	57	63	54	51	64	35	36	29	61	39	82	200	29	40	21	43	21	35	44	41	22	82	23	20	537	50	1	149	
567	561	675	670	386	774	727	271	439	513	500	629	125	468	446	681	492	771	686	869	742	795	656	697	691	839	729	815	741	740	816	794	816	682	868	920	575	679	646	1087	919	548	733	971	1054	1104	353	619	546	608	867	819	508	550	256	178	62	9	
61	67	39	67	45	56	64	128	50	47	36	50	20	24	38	42	41	15	40	46	47	49	43	57	36	36	34	50	82	62	57	63	54	50	64	35	36	29	61	39	82	200	29	40	21	43	21	35	44	41	22	82	23	20	537	50	1	149	
1371	871	1286	1263	1068	1170	1209	1101	1011	1439	1464	1319	854	1008	1516	1777	1467	714	1274	1085	1211	1155	1299	1246	1273	1124	1236	1135	1177	1198	1127	1143	1129	1265	1068	1045	1389	792	1293	1374	1499	1246	738	989	1424	1352	726	844	910	851	1111	1094	1446	1430	1207	770	170	259	
21	15	20	24	13	28	22	23	12	21	22	13	14	15	19	27	13	12	19	17	17	19	16	11	20	18	25	25	20	15	16	21	17	20	26	17	17	14	18	21	26	25	10	21	29	21	13	14	14	14	24	20	8	24	34	10	2	5	
1411	923	1305	1306	1100	1198	1251	1206	1049	1465	1478	1356	860	1017	1535	1792	1495	717	1295	1114	1241	1185	1326	1292	1289	1142	1245	1160	1239	1245	1168	1185	1166	1295	1106	1063	1408	807	1336	1392	1555	1421	757	1008	1416	1374	734	865	940	878	1109	1156	1461	1426	1710	810	169	403	
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	

14	14	11	22	14	11	9	12	9	8	14	11	12	2	19	16	13	7	7	11	15	10	7	8	11	13	8	14	10	10	7	14	7	7	4	14	17	9	17	15	10	9	8	3	11	14	3	4	5	6	7	6	14	4	16	7	1	2	
252	117	180	174	131	171	194	179	144	204	205	187	114	167	226	253	201	94	161	138	177	152	202	178	169	129	130	156	154	181	169	139	153	169	182	144	194	113	184	203	230	208	67	169	228	163	123	130	147	138	158	166	219	221	207	118	18	26	
78	52	99	73	65	64	67	59	62	65	75	61	51	45	94	103	94	70	91	75	74	68	85	88	72	89	83	65	75	72	86	52	81	94	68	73	84	57	80	65	90	92	68	60	87	110	42	67	92	40	97	79	95	75	155	34	20	23	
