"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	
220	331	393	2218	607	452	
220	321	381	2440	805	423	
66	82	90	284	204	147	
147	229	273	1831	393	265	
7	10	18	97	9	11	
0	0	0	228	199	0	
73	92	108	381	211	158	
147	229	272	1831	393	265	
5	0	6	51	8	0	
215	321	374	2161	596	423	
0	0	0	0	0	0	
0	0	0	0	0	0	

1	0	0	2	1	0	
3	4	8	47	7	0	
2	3	1	12	1	0	
208	314	363	2063	585	423	
0	0	1	31	2	0	
0	0	0	2	0	0	
1	0	1	1	0	0	
0	0	0	3	0	0	
