"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	
461	697	331	864	686	320	778	247	77	1720	1151	235	1384	770	786	613	674	
446	673	320	864	685	304	778	247	68	1720	1223	225	1411	770	780	613	674	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
424	646	309	780	650	303	771	228	67	1547	918	219	1083	762	778	604	647	
22	23	6	60	22	0	0	16	0	167	210	4	249	6	0	2	0	
0	4	5	24	13	1	7	3	1	6	95	2	79	2	2	7	27	
22	23	6	60	22	0	0	16	0	167	210	4	249	6	0	2	0	
424	646	309	780	650	303	771	228	67	1547	918	219	1083	762	778	604	647	
1	1	1	0	5	4	12	0	6	3	16	2	22	0	0	0	0	
445	668	314	840	667	299	759	244	61	1711	1112	221	1310	768	778	606	647	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	0	0	2	2	2	1	3	4	0	5	0	0	0	0	
24	41	14	70	45	10	89	17	6	123	273	9	252	81	54	56	58	
19	24	3	14	8	10	6	3	5	1	12	6	17	7	8	1	1	
402	599	292	756	610	274	648	219	48	1577	804	206	1026	665	709	545	581	
0	1	3	0	3	3	5	1	0	2	8	0	4	11	1	3	2	
0	3	1	0	0	0	5	2	0	2	7	0	4	2	4	0	3	
0	0	0	0	1	0	3	0	0	1	3	0	1	2	1	0	0	
0	0	0	0	0	0	1	0	1	2	1	0	1	0	1	1	2	
