"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №3653"	
2599	2457	2570	2451	2489	2424	2218	2561	2116	2675	1844	2189	2215	1976	2354	2521	1236	2629	2894	2644	2244	521	
1920	1885	1950	1825	1955	1870	1605	2000	1605	1835	2182	1675	1750	1560	1825	2255	1000	1950	2230	2010	1815	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1555	1407	1505	1446	1342	1318	1308	1471	1233	1606	1005	1199	1119	1051	1278	1680	714	1500	1501	1493	1295	163	
63	67	86	45	99	62	63	90	53	75	43	52	66	46	71	106	35	62	75	71	43	354	
302	411	359	334	514	490	234	439	319	154	1134	424	565	463	476	469	251	388	654	446	475	333	
62	67	86	45	99	62	63	90	53	75	43	52	66	46	71	106	35	61	75	71	43	354	
1551	1406	1503	1443	1339	1312	1307	1470	1230	1591	1005	1199	1118	1049	1278	1571	712	1490	1497	1490	1293	163	
45	22	19	25	23	16	90	22	11	24	14	20	22	15	15	13	11	26	32	24	33	7	
1568	1451	1570	1463	1415	1358	1280	1538	1272	1642	1034	1231	1162	1080	1334	1664	736	1525	1540	1537	1303	510	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	11	15	18	17	17	11	12	4	15	11	12	13	20	19	21	3	20	23	18	11	4	
211	179	174	213	184	175	167	214	274	297	150	144	151	164	167	224	112	216	207	229	178	64	
77	61	68	56	51	52	52	64	32	65	45	72	78	54	74	76	34	58	72	60	75	34	
1040	990	1128	984	998	936	880	1056	829	1092	734	891	780	742	953	1141	487	996	1041	962	851	370	
105	85	82	77	63	59	84	74	67	76	35	50	66	46	46	79	39	109	90	107	79	20	
17	13	12	12	10	20	7	9	5	12	10	11	9	6	14	12	5	17	13	25	9	5	
37	48	20	32	23	22	20	29	18	16	14	14	19	15	21	29	11	31	29	47	32	4	
67	64	71	71	69	77	59	80	43	69	35	37	46	33	40	82	45	78	65	89	68	9	
