"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	
541	507	544	538	553	607	574	555	469	475	557	529	485	469	492	183	161	100	119	548	151	130	167	857	270	86	95	223	70	1329	58	115	135	125	90	102	791	991	419	113	650	143	238	438	227	127	105	475	162	220	115	220	163	105	134	221	254	1095	210	302	178	904	849	236	594	81	608	105	
560	530	550	550	560	560	580	580	485	500	560	540	500	480	510	175	155	105	115	560	160	130	165	850	280	90	100	220	80	1360	50	110	130	130	90	100	820	1030	430	110	670	140	240	430	240	130	100	480	160	210	120	220	160	120	130	220	250	1060	210	315	170	940	880	230	595	80	605	105	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
263	272	268	309	249	317	291	308	252	235	240	277	205	205	239	108	61	64	65	255	82	49	80	474	150	59	54	137	37	567	31	58	86	67	51	53	493	466	164	46	356	70	120	220	122	71	50	244	113	135	64	102	79	29	95	105	114	487	90	151	101	446	327	132	293	38	367	62	
13	10	8	3	12	47	6	5	3	17	17	18	24	8	6	19	18	1	8	12	5	11	7	68	17	8	9	14	9	52	2	9	0	4	4	4	26	24	34	13	15	4	0	32	13	4	2	12	3	11	0	8	14	3	7	8	9	33	17	13	9	44	58	21	28	1	34	2	
284	248	274	238	299	196	283	267	230	248	303	245	271	267	265	48	76	40	42	293	73	70	78	308	113	23	37	69	34	741	17	43	44	59	35	43	301	540	232	51	299	66	120	178	105	55	48	224	44	64	56	110	67	88	28	107	127	540	103	151	60	450	495	77	274	41	204	41	
13	10	8	3	12	47	6	5	3	17	17	18	24	8	6	19	18	1	8	12	5	11	7	68	17	8	9	14	9	52	2	9	0	4	4	4	26	24	34	13	15	4	0	32	13	4	2	12	3	11	0	8	14	3	7	8	9	33	17	13	9	44	58	21	28	1	34	2	
263	272	268	309	249	317	291	308	252	235	240	277	205	205	239	108	61	64	65	255	82	49	80	474	150	59	54	137	37	567	31	58	86	67	51	53	493	466	164	46	356	70	120	220	122	71	50	244	113	135	64	102	79	29	95	105	114	487	90	151	101	446	327	132	293	38	367	62	
4	5	0	6	1	4	3	6	3	3	1	2	1	7	9	2	1	0	1	6	2	2	0	8	0	0	0	0	0	10	0	0	0	0	0	2	7	3	3	0	4	1	2	2	2	0	0	0	1	0	2	2	0	0	1	2	3	14	0	2	2	6	1	1	4	0	2	0	
272	277	276	306	260	360	294	307	252	249	256	293	228	206	236	125	78	65	72	261	85	58	87	534	167	67	63	151	46	609	33	67	86	71	55	55	512	487	195	59	367	73	118	250	133	75	52	256	115	146	62	108	93	32	101	111	120	506	107	162	108	484	384	152	317	39	399	64	
