"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	
1361	1669	909	641	1910	1787	1461	958	414	397	1038	715	369	236	294	861	1451	1266	951	
1415	1690	915	660	1875	1823	1476	970	364	374	1081	750	375	250	302	882	1440	1290	968	
0	6	0	0	0	0	0	119	0	0	0	0	0	0	40	10	9	106	0	
550	695	399	313	1043	833	679	319	173	174	364	348	204	122	108	358	612	491	419	
8	5	6	14	27	13	20	17	20	9	48	13	25	6	4	9	41	30	37	
857	984	510	333	805	977	777	515	171	191	669	389	146	122	150	505	778	663	512	
8	11	6	14	27	13	20	136	20	9	48	13	25	6	44	19	50	136	37	
550	695	399	313	1043	833	679	319	173	174	364	348	204	122	108	358	612	491	419	
5	11	13	6	20	11	22	6	4	4	4	1	1	3	0	6	9	5	5	
553	695	392	321	1050	835	677	449	189	179	408	360	228	125	152	371	653	622	451	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	1	3	3	5	5	3	0	0	0	1	0	0	0	0	1	1	3	0	
117	178	88	66	207	173	140	56	20	9	58	62	14	18	6	24	63	58	76	
80	91	67	37	111	108	108	75	15	29	50	52	39	22	22	52	75	48	68	
338	413	225	208	690	530	407	311	153	139	289	236	170	85	123	287	509	504	299	
5	4	4	2	15	6	8	5	0	0	2	7	3	0	0	2	2	3	4	
5	6	2	4	8	6	7	0	1	1	6	1	2	0	1	2	2	1	0	
1	1	1	1	6	3	1	1	0	1	1	1	0	0	0	0	1	5	3	
1	1	2	0	8	4	3	1	0	0	1	1	0	0	0	3	0	0	1	
