"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	
2188	1914	2004	1960	1914	2042	1962	2108	2099	1944	2213	2339	2333	2139	2021	2282	2203	2215	2279	2041	1774	1027	2439	1913	552	1200	1616	1767	1385	1470	971	560	980	1040	566	1149	591	
2150	1950	2000	1950	1950	2000	1950	2050	2100	1850	2200	2300	2300	2150	2000	2200	2200	2200	2250	2100	1550	950	2250	1900	500	1150	1550	1750	1400	1500	930	540	950	1050	540	1120	570	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1297	1084	1162	1070	976	1157	1044	1138	926	865	1398	1334	1329	1356	1160	1306	1159	1315	1417	1129	1045	581	1282	1096	280	630	884	804	797	836	569	191	567	450	254	620	297	
19	47	47	41	36	42	74	32	55	109	39	45	60	73	61	84	67	47	114	34	61	16	87	29	83	62	57	42	33	16	12	128	144	84	88	106	41	
834	819	791	839	938	801	832	880	1119	876	763	921	911	721	779	810	974	838	719	937	444	353	881	775	137	458	609	904	570	648	349	221	239	516	198	394	232	
19	47	47	41	36	42	74	32	55	109	39	45	60	73	61	84	67	47	114	34	61	16	87	29	83	62	57	42	33	16	12	128	144	84	88	106	41	
1297	1084	1161	1070	976	1157	1044	1138	926	865	1398	1234	1329	1356	1160	1306	1159	1315	1417	1129	1044	581	1281	1096	280	630	884	804	797	836	569	191	567	450	254	620	297	
19	25	15	11	12	14	17	19	20	8	22	28	16	26	9	14	15	11	14	11	10	2	9	7	5	5	12	8	10	10	8	2	7	8	6	6	2	
1297	1106	1193	1100	1000	1185	1101	1151	961	966	1415	1251	1373	1403	1212	1376	1211	1351	1517	1152	1095	595	1359	1118	358	687	929	838	820	842	573	317	704	526	336	720	336	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	16	12	8	7	13	7	10	6	5	20	9	8	21	4	14	15	10	17	4	11	4	13	8	4	5	7	10	2	2	5	1	3	3	1	6	1	
212	159	183	169	164	190	159	161	123	88	191	165	186	194	175	192	159	182	218	176	138	44	141	112	35	98	86	106	103	112	84	17	66	51	32	73	40	
126	99	89	74	118	119	107	78	76	64	115	101	99	109	101	128	89	96	109	121	55	34	91	88	19	46	66	66	78	63	45	18	61	55	39	67	35	
880	782	851	800	675	819	793	859	725	777	1021	936	1013	1018	888	988	878	1005	1092	814	859	488	1073	864	295	523	744	622	612	628	416	274	558	404	258	551	253	
19	19	21	20	21	17	10	16	14	15	20	13	25	23	22	30	27	23	35	19	10	6	18	16	1	5	12	11	10	16	5	4	7	4	2	8	1	
14	12	10	11	2	6	13	6	4	9	10	5	11	9	8	11	13	7	15	9	2	7	12	20	0	2	6	6	5	8	13	0	5	6	0	5	3	
24	13	16	7	9	10	5	11	8	2	16	10	18	20	6	6	12	15	15	4	16	2	9	5	4	5	3	9	9	7	4	3	1	1	1	4	1	
13	6	11	11	4	11	7	10	5	6	22	12	13	9	8	7	18	13	16	5	4	10	2	5	0	3	5	8	1	6	1	0	3	2	3	6	2	
