"УИК №3033"	"УИК №3034"	"УИК №3035"	"УИК №3036"	"УИК №3037"	"УИК №3038"	"УИК №3039"	"УИК №3040"	"УИК №3041"	"УИК №3042"	"УИК №3043"	"УИК №3044"	"УИК №3045"	"УИК №3046"	"УИК №3047"	"УИК №3048"	"УИК №3049"	"УИК №3050"	"УИК №3051"	"УИК №3052"	"УИК №3053"	"УИК №3054"	"УИК №3055"	"УИК №3056"	"УИК №3057"	"УИК №3058"	"УИК №3059"	"УИК №3060"	"УИК №3061"	"УИК №3062"	"УИК №3063"	"УИК №3064"	"УИК №3065"	"УИК №3066"	"УИК №3067"	"УИК №3068"	"УИК №3069"	"УИК №3070"	"УИК №3071"	"УИК №3072"	"УИК №3073"	"УИК №3074"	"УИК №3075"	"УИК №3076"	"УИК №3077"	"УИК №3078"	"УИК №3079"	"УИК №3080"	"УИК №3081"	"УИК №3082"	"УИК №3083"	"УИК №3084"	"УИК №3085"	"УИК №4239"	
1179	1318	1362	960	2348	2299	1561	2108	2473	1992	2141	1680	1418	1937	2279	1999	2302	1924	1845	1905	1726	1942	2510	1491	2441	1771	1911	2050	1166	1254	1223	2366	1045	2596	1454	2360	1403	1107	1066	2080	2655	1864	1323	1516	952	1352	787	2018	934	872	882	1671	821	263	
1070	1200	1200	910	2130	2170	1450	2020	2400	1900	2100	1550	1400	1900	2000	1870	2340	1840	1760	1830	1640	1790	2280	1580	2340	1700	1800	1920	1000	1200	1050	2260	1290	2500	1270	2310	1450	1180	950	2140	2520	1760	1260	1260	870	1200	680	2000	970	880	850	1650	730	460	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
775	941	784	679	1235	1575	1097	1487	1448	1327	1547	1105	1034	1315	1316	1464	1680	1191	1155	1173	1080	1365	1960	1019	1757	1288	1264	1314	795	750	899	1461	871	2349	951	1471	839	731	710	1529	2210	1551	1012	902	449	858	357	1286	580	631	683	1210	608	158	
35	43	65	21	20	5	41	34	45	69	16	11	29	45	23	47	29	40	38	34	21	37	97	26	29	23	15	37	166	292	131	85	62	66	67	215	137	157	96	540	42	34	118	62	134	128	256	9	66	94	94	192	105	105	
260	216	351	210	875	590	312	499	907	504	537	434	337	540	661	359	631	609	567	623	539	388	223	535	554	389	521	569	39	158	20	714	357	85	252	624	474	292	144	71	268	175	130	295	287	214	67	705	324	155	73	248	17	197	
35	43	65	21	20	5	41	34	45	69	16	11	29	45	23	47	29	40	38	34	21	37	97	26	29	23	15	37	166	292	130	85	62	66	67	215	137	157	96	540	42	34	118	62	134	128	256	9	66	94	94	192	105	105	
775	941	784	679	1235	1575	1097	1487	1448	1327	1547	1103	1034	1315	1316	1464	1680	1191	1155	1173	1080	1365	1960	1019	1757	1288	1249	1313	795	750	899	1460	871	2349	951	1471	839	731	614	1529	2210	1551	1012	901	449	858	357	1286	580	631	683	1210	608	158	
25	0	5	8	34	25	15	19	17	24	15	10	8	16	17	8	19	17	12	23	7	16	14	14	9	13	14	9	0	15	10	23	12	0	0	20	9	7	3	15	18	6	7	15	4	6	4	20	11	6	6	8	0	1	
785	984	844	692	1221	1555	1123	1502	1476	1372	1548	1104	1055	1344	1322	1503	1690	1214	1181	1184	1094	1386	2043	1031	1777	1298	1250	1341	961	1027	1019	1522	921	2415	1018	1666	967	881	707	2054	2234	1579	1123	948	579	980	609	1275	635	719	771	1394	713	262	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

