"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №2264"	"УИК №2292"	"УИК №2293"	"УИК №2294"	"УИК №2295"	
2491	2507	1260	234	65	382	156	118	213	712	919	97	84	92	58	223	120	26	30	384	153	127	88	63	111	54	340	144	269	149	83	56	66	30	372	480	179	236	55	63	566	213	103	26	54	151	151	148	63	926	34	51	104	92	
2486	2530	1258	235	56	377	143	112	209	724	935	99	83	97	52	214	116	25	28	377	150	125	82	60	96	51	330	145	280	142	81	67	63	33	368	477	189	223	47	55	538	197	94	24	53	139	144	151	59	929	31	48	97	91	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1362	1330	633	138	34	268	121	99	161	382	517	61	69	87	43	175	79	16	26	251	116	98	76	47	87	45	204	98	136	84	43	39	51	20	237	298	127	157	43	47	332	147	69	20	39	101	130	115	49	452	27	42	43	56	
50	50	51	15	6	19	14	5	18	50	53	7	4	4	6	7	4	5	0	18	12	5	2	0	4	0	30	6	25	19	6	2	6	0	23	27	11	22	0	2	19	16	5	2	5	8	7	1	3	16	3	2	5	6	
1074	1150	574	82	16	90	8	8	30	292	365	31	10	6	3	32	33	4	2	108	22	22	4	13	5	6	96	41	119	39	32	26	6	13	108	152	51	44	4	6	187	34	20	2	9	30	7	35	7	461	1	4	49	29	
50	50	51	15	6	19	14	5	18	50	53	7	4	4	6	7	4	5	0	18	12	5	2	0	4	0	30	6	25	19	6	2	6	0	23	27	11	22	0	2	19	16	5	2	5	8	7	1	3	16	3	2	5	6	
1362	1330	632	138	34	268	121	99	161	382	517	61	69	87	43	175	79	16	26	251	116	98	76	47	87	45	204	98	136	84	43	39	51	20	237	298	127	157	43	47	332	147	69	20	39	101	130	115	49	452	27	42	43	56	
7	14	6	2	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	6	0	0	0	0	1	1	0	0	1	0	0	0	0	0	7	4	3	4	0	0	2	2	0	0	0	0	0	0	0	6	0	1	0	0	
1405	1366	677	151	40	287	133	104	179	431	570	68	73	91	47	182	83	21	26	263	128	103	78	47	90	44	234	104	160	103	49	41	57	20	253	321	135	175	43	49	349	161	74	22	44	109	137	116	52	462	30	43	48	62	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	13	7	1	0	1	0	1	0	2	4	2	1	0	0	1	0	0	0	0	1	3	0	0	0	0	1	1	0	1	1	0	0	0	2	1	1	1	0	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	
249	198	77	22	5	40	3	3	21	69	124	2	3	7	6	32	8	6	0	47	7	23	8	7	12	9	19	6	15	13	2	3	4	0	27	35	8	13	0	8	36	7	2	1	2	9	16	3	4	63	1	0	0	5	
134	95	72	13	4	22	6	6	12	41	44	8	5	4	5	8	9	1	4	18	29	10	10	2	6	12	16	6	13	11	5	5	3	5	24	36	16	22	4	5	21	22	5	2	3	14	4	6	6	44	1	1	1	8	
968	1024	502	113	28	218	123	91	145	312	384	55	62	78	34	136	66	14	22	197	89	63	57	38	72	21	194	89	128	77	39	32	47	14	194	248	109	134	37	34	291	131	66	19	38	81	116	107	41	332	28	42	45	48	
22	11	7	0	3	1	0	2	1	3	5	0	1	0	1	2	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	2	1	0	0	0	0	0	3	0	0	0	6	0	0	1	0	
7	13	4	2	0	4	0	1	0	2	8	1	1	0	1	2	0	0	0	0	0	2	1	0	0	2	3	2	4	1	2	0	2	1	2	0	1	1	0	0	1	0	0	0	1	1	0	0	1	7	0	0	0	1	
3	9	5	0	0	1	1	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	5	0	0	1	0	
9	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	
