"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	
1295	1304	1073	535	382	231	150	394	210	236	851	712	1080	345	241	
1300	1300	1050	500	350	200	150	400	200	250	850	700	1150	350	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1192	1242	784	472	293	161	117	351	164	203	680	628	833	294	189	
13	53	34	28	18	23	15	28	22	28	24	23	96	35	26	
95	5	232	0	39	16	18	21	14	19	146	49	221	21	35	
13	53	34	28	18	23	15	28	22	28	24	23	96	35	26	
1192	1242	784	472	293	161	117	351	164	203	680	628	833	294	189	
4	3	6	0	0	0	0	0	0	0	1	0	12	2	0	
1201	1292	812	500	311	184	132	379	186	231	703	651	917	327	215	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	3	0	0	1	0	0	1	0	4	1	0	1	0	
7	60	52	0	20	14	5	45	22	26	126	1	62	4	10	
5	93	14	1	1	1	2	4	1	0	3	1	4	11	7	
1182	1132	733	485	287	161	124	321	162	200	562	645	835	305	187	
2	2	7	0	0	0	0	1	0	0	2	1	6	1	0	
1	1	2	14	2	4	0	8	0	5	3	0	3	3	11	
1	1	0	0	1	2	0	0	0	0	2	1	1	1	0	
2	1	1	0	0	1	1	0	0	0	1	1	6	1	0	
