"УИК №2701"	"УИК №2702"	"УИК №2703"	"УИК №2704"	"УИК №2705"	"УИК №2706"	"УИК №2707"	"УИК №2708"	"УИК №2709"	"УИК №2710"	"УИК №2711"	"УИК №2712"	
2055	2069	1920	838	511	637	178	176	544	214	179	147	
2065	2120	1990	845	510	620	175	175	475	215	160	150	
12	0	0	0	0	0	0	0	0	0	0	0	
977	932	1079	459	237	388	106	90	282	102	102	63	
33	31	58	18	23	13	11	4	11	12	5	0	
1043	1157	853	368	250	219	58	81	182	101	53	87	
45	31	58	18	23	13	11	4	11	12	5	0	
977	932	1079	459	237	388	106	90	282	102	102	63	
18	24	25	12	3	8	1	4	7	2	2	1	
1004	939	1112	465	257	393	116	90	286	112	105	62	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

4	9	12	6	2	2	0	1	2	0	1	1	
244	262	241	91	16	40	24	9	31	4	9	3	
87	70	120	43	53	40	7	9	20	9	10	16	
638	569	694	311	178	301	80	68	230	96	79	40	
13	11	19	4	5	5	3	0	1	0	1	1	
5	8	10	1	1	2	2	2	1	1	2	0	
7	4	7	3	0	1	0	1	1	2	3	0	
6	6	9	6	2	2	0	0	0	0	0	1	
