"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	
2105	2149	1761	1898	1258	1432	2064	2496	2244	2180	1529	615	
1800	1800	1450	1600	1050	1150	1950	2110	1800	1800	1300	500	
0	0	0	0	0	0	0	0	0	0	0	0	
1429	1470	1247	1345	883	1025	1568	1713	1507	1184	1014	418	
72	53	55	49	39	41	96	79	98	48	47	17	
299	277	148	206	128	84	286	318	195	568	239	65	
72	53	55	49	39	41	96	79	98	48	47	17	
1429	1470	1247	1345	883	1025	1568	1713	1507	1184	1012	418	
14	21	10	12	4	9	6	21	20	17	10	5	
1487	1502	1292	1382	918	1057	1658	1771	1585	1215	1049	430	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

1	2	1	3	2	1	3	3	0	5	1	0	
36	33	19	44	23	40	33	70	31	27	14	14	
30	27	24	35	14	16	30	34	35	19	18	6	
1390	1407	1225	1267	860	975	1572	1618	1485	1103	989	398	
19	22	10	13	9	6	11	24	18	40	13	9	
1	3	4	6	3	7	3	3	3	1	6	0	
4	3	1	5	4	2	4	8	5	2	3	0	
6	5	8	9	3	10	2	11	8	18	5	3	
