"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	
2465	1561	1751	2219	2078	2102	1730	2556	2143	2205	2427	2276	2104	1951	2443	2239	2453	1981	2399	2490	2367	2419	2258	1759	2308	1982	1683	1228	2159	2329	372	1987	
2100	1600	1800	2200	2300	2000	1800	2500	2000	2100	2200	2200	2000	1800	2300	2300	1900	1800	1900	2500	2300	2300	2300	1800	2400	1900	1600	1200	2300	2300	400	1534	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1192	1101	1228	1159	1383	1105	1069	1687	1264	1175	1305	1274	1207	1294	1262	1696	1626	1462	1291	1282	1291	1255	1418	1081	1469	1405	875	701	1238	1513	127	1147	
214	42	71	47	78	52	107	61	52	61	60	56	61	71	43	154	170	100	38	101	107	262	210	93	102	128	30	37	121	97	135	289	
694	457	501	994	839	843	624	752	684	864	835	870	732	435	995	450	104	238	571	1117	902	783	672	626	829	367	695	462	941	690	138	98	
214	42	71	47	78	52	107	61	52	61	60	56	61	71	43	154	170	100	38	101	107	262	210	93	102	128	30	37	121	97	135	289	
1192	1101	1228	1159	1383	1105	1069	1687	1264	1175	1305	1273	1207	1294	1262	1696	1626	1462	1291	1282	1291	1255	1418	1081	1469	1405	875	701	1238	1513	127	1147	
12	9	16	14	10	12	16	15	19	10	19	18	19	10	24	11	16	13	19	9	8	14	19	11	22	13	6	13	18	24	0	12	
1394	1134	1283	1192	1451	1145	1160	1733	1297	1226	1346	1311	1249	1355	1281	1839	1780	1549	1310	1374	1390	1503	1609	1163	1549	1520	899	725	1341	1586	262	1424	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	4	19	10	9	6	11	7	25	13	14	22	16	10	7	15	12	17	16	15	11	13	10	7	19	7	13	2	10	10	1	10	
177	115	141	169	178	114	142	350	133	150	170	148	177	148	178	181	226	151	204	135	199	195	213	113	174	133	109	86	156	139	12	209	
98	31	66	105	100	63	86	90	87	95	83	92	96	68	111	85	116	60	118	65	102	105	92	81	95	85	81	54	116	108	18	66	
1050	950	1028	827	1093	908	866	1220	963	893	995	984	906	1081	933	1486	1352	1254	911	1113	1024	1122	1241	909	1203	1239	640	557	1007	1285	225	1056	
22	11	11	24	33	17	19	24	26	25	28	25	15	19	24	29	34	25	22	12	26	33	17	22	25	26	15	7	22	21	1	33	
7	3	8	15	9	10	9	9	21	17	11	6	7	10	8	12	13	8	14	18	14	14	14	8	13	6	10	9	9	10	4	8	
14	8	5	12	9	10	9	13	15	8	7	5	15	4	5	8	15	16	10	5	4	7	8	5	5	8	8	9	9	4	1	13	
18	12	5	30	20	17	18	20	27	25	38	29	17	15	15	23	12	18	15	11	10	14	14	18	15	16	23	1	12	9	0	29	
