"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	
644	679	727	933	1087	962	991	867	952	949	941	583	134	217	308	272	200	110	268	138	550	273	161	562	268	
530	550	625	770	890	785	815	660	750	780	760	500	115	205	265	215	165	80	200	110	430	210	130	470	205	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
357	433	536	604	659	498	498	553	546	539	664	334	47	125	170	81	79	35	74	59	278	115	70	242	153	
77	49	41	75	81	114	170	51	39	66	38	149	41	35	55	102	62	44	81	33	51	46	53	115	47	
96	68	48	91	150	173	147	56	165	175	58	17	27	45	40	32	24	1	45	18	101	49	7	113	5	
77	49	41	75	81	114	170	51	39	66	38	149	41	35	55	102	62	44	81	33	51	46	53	115	47	
357	433	536	604	659	498	498	552	545	539	664	334	47	125	170	81	79	35	74	59	278	115	70	242	153	
6	3	5	7	11	4	5	17	5	1	10	2	0	1	0	1	0	0	0	0	4	1	0	2	0	
428	479	572	672	729	608	663	586	579	604	692	481	88	159	225	182	141	79	155	92	325	160	123	355	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	6	2	5	4	4	0	3	1	2	3	0	2	1	2	0	1	0	0	5	1	0	0	2	
51	56	50	69	68	55	74	59	76	51	54	33	6	12	19	17	8	0	17	5	33	19	8	26	14	
27	22	30	35	52	33	49	37	41	42	41	22	8	15	14	7	15	3	9	1	12	17	12	18	13	
339	398	478	552	584	512	522	481	450	502	583	414	72	129	183	150	117	74	128	85	267	122	99	310	166	
4	0	3	5	5	0	7	3	3	2	8	6	0	1	5	4	1	0	0	0	3	1	3	1	2	
4	0	1	3	6	1	3	4	2	0	0	2	2	0	1	2	0	0	1	1	0	0	1	0	3	
0	1	3	4	6	2	2	1	1	5	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	
1	1	1	2	3	1	2	1	3	1	0	1	0	0	1	0	0	1	0	0	4	0	0	0	0	
