"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	
1290	1503	183	159	398	346	203	208	403	681	602	238	218	1465	
1300	1550	180	160	405	330	250	235	390	660	625	235	245	1570	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
842	1049	149	132	280	239	143	152	308	498	363	124	172	851	
222	205	29	18	38	15	1	36	40	54	136	68	18	300	
236	296	2	10	87	76	106	47	42	108	126	43	55	419	
222	205	29	18	38	15	1	36	40	54	136	68	18	300	
842	1049	149	132	280	239	143	152	308	498	363	124	172	851	
14	12	0	1	4	1	1	0	2	8	0	1	2	13	
1050	1242	178	149	314	253	143	188	346	544	499	191	188	1138	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	7	0	0	2	2	2	1	1	3	2	0	0	3	
125	142	7	8	35	35	16	13	14	47	63	19	14	61	
66	102	6	6	34	32	18	10	30	42	40	12	6	62	
818	963	164	132	231	181	104	162	298	443	381	156	167	996	
12	12	1	1	4	1	1	1	0	2	5	2	0	4	
10	7	0	1	3	0	1	0	2	4	5	2	1	8	
10	4	0	1	4	0	1	0	0	2	3	0	0	2	
2	5	0	0	1	2	0	1	1	1	0	0	0	2	
