"УИК №1435"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	
494	148	1756	1988	1665	1907	1872	1974	815	106	848	480	223	130	
540	140	1600	1900	1600	1700	1700	2000	750	100	800	450	200	120	
38	0	0	0	0	0	0	0	0	0	0	0	0	0	
212	76	891	1161	958	1144	1109	1168	478	58	409	319	149	92	
6	6	24	40	29	36	68	45	5	3	16	15	17	3	
284	58	685	699	613	520	523	787	267	39	375	116	34	25	
44	6	24	40	29	36	68	45	5	3	16	15	17	3	
212	76	891	1161	958	1142	1109	1168	478	58	409	319	149	92	
0	0	12	15	10	5	23	17	4	0	6	6	1	0	
256	82	903	1186	977	1173	1154	1196	479	61	419	328	165	95	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	2	4	4	8	10	8	1	0	3	5	0	0	
15	5	155	200	152	193	179	227	81	7	56	46	15	22	
35	10	72	69	72	71	104	108	42	14	40	43	11	11	
205	67	647	874	722	870	833	829	343	40	313	226	137	60	
0	0	8	21	9	9	6	4	8	0	5	1	1	2	
1	0	10	8	6	12	9	8	2	0	2	4	1	0	
0	0	5	5	7	6	7	6	2	0	0	2	0	0	
0	0	4	5	5	4	6	6	0	0	0	1	0	0	
