"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	
1365	1246	635	1346	1293	1389	1340	1458	131	213	628	115	363	694	649	620	338	166	478	188	503	329	276	78	640	80	605	135	240	304	404	196	
1400	1270	650	1370	1330	1435	1380	1480	135	215	640	115	375	715	670	630	340	175	505	195	510	340	295	80	670	85	620	135	310	320	420	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1089	947	516	1143	990	1101	1144	1072	83	176	446	93	246	448	484	422	219	114	344	102	369	244	175	62	375	52	354	75	175	213	264	141	
105	63	28	47	106	32	76	95	29	13	95	14	68	112	90	73	39	22	60	58	48	45	60	13	174	28	174	42	65	51	51	30	
206	260	106	180	234	302	160	313	23	26	99	8	61	155	96	135	82	39	101	35	93	51	60	5	121	5	92	18	70	56	105	29	
105	63	28	47	106	32	76	95	29	13	95	14	68	112	90	73	39	22	60	58	48	45	60	13	174	28	174	42	65	51	51	30	
1089	947	516	1096	990	1101	1144	1072	83	176	446	93	246	448	484	422	219	114	344	102	369	244	175	62	375	52	354	75	175	213	264	141	
1	0	0	9	0	8	3	0	0	0	52	0	0	5	0	3	0	0	2	0	3	1	0	0	6	0	0	4	0	0	0	0	
1193	1010	544	1134	1096	1125	1217	1167	112	189	489	107	314	555	574	492	258	136	402	160	414	288	235	75	543	80	528	113	240	264	315	171	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	7	3	5	2	4	5	1	0	0	1	0	1	4	0	7	0	0	0	0	1	3	0	0	2	2	3	0	0	1	2	1	
78	81	43	105	109	112	109	64	3	14	19	3	16	28	25	42	14	2	31	8	33	9	7	5	35	3	25	3	10	10	33	10	
66	61	14	53	64	36	46	47	4	7	17	4	11	27	28	22	14	9	15	5	19	7	22	3	26	3	36	7	16	9	6	5	
1030	838	476	960	911	959	1050	1047	102	167	451	99	286	492	519	418	226	125	356	147	355	266	204	67	477	72	458	103	212	241	267	153	
6	5	2	3	3	5	5	2	1	0	0	0	0	1	0	2	2	0	0	0	1	3	0	0	1	0	3	0	0	1	3	2	
5	8	1	2	6	4	0	4	0	0	0	1	0	3	1	0	1	0	0	0	1	0	2	0	1	0	1	0	0	2	0	0	
4	10	4	5	1	4	2	1	2	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	1	0	3	0	
0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	
