"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	
2469	1207	1088	2476	302	114	176	768	586	361	392	758	808	457	1240	613	719	436	290	445	849	318	915	503	
2250	1070	1040	2290	280	110	150	740	570	340	370	740	770	420	1160	590	690	390	270	410	790	280	890	510	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1463	666	587	1351	149	75	98	490	366	216	235	465	489	352	755	375	426	326	187	261	498	197	608	299	
57	71	54	56	39	7	19	59	37	87	21	79	84	15	77	67	40	21	20	35	46	17	82	49	
730	333	399	883	92	28	33	191	167	37	114	196	197	53	328	148	224	43	63	114	246	66	200	162	
57	71	54	56	39	7	19	59	37	87	21	79	84	15	77	67	40	21	20	35	46	17	82	49	
1463	666	587	1351	149	75	98	490	366	216	235	465	489	352	755	375	426	326	187	261	497	197	608	299	
10	4	6	19	0	1	0	6	5	1	3	8	4	2	12	1	4	9	1	2	9	3	5	2	
1510	733	635	1388	188	81	117	543	398	302	253	536	569	365	820	441	462	338	206	294	534	211	685	346	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	4	5	9	2	0	0	1	2	2	1	0	2	1	5	1	1	5	2	2	4	1	0	2	
212	106	87	185	15	10	6	46	71	18	33	83	52	52	143	68	56	18	37	52	82	12	87	38	
80	32	36	70	19	4	8	42	9	13	13	33	38	26	31	16	31	22	13	17	25	17	44	19	
1175	572	485	1086	150	64	101	443	308	269	203	415	464	284	623	344	368	287	150	213	414	176	551	280	
10	10	5	16	1	1	1	5	5	0	1	1	3	2	6	3	3	1	0	1	3	3	1	2	
9	5	11	12	0	1	0	1	2	0	1	1	6	0	6	7	0	1	4	6	3	1	2	1	
9	2	3	6	1	0	0	5	1	0	1	3	4	0	5	1	3	3	0	1	1	1	0	3	
6	2	3	4	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	2	2	0	0	1	
