"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	
1508	2455	752	897	866	254	639	247	520	239	287	142	140	134	400	117	325	187	248	457	275	288	489	110	188	202	190	322	302	358	124	394	175	138	181	440	
1491	2421	746	870	851	252	631	257	512	233	290	138	140	130	394	115	328	181	240	453	266	288	486	104	185	196	186	315	295	350	119	387	170	135	170	440	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1254	2007	648	825	783	230	558	206	400	215	260	125	128	122	361	102	272	167	215	412	219	251	429	90	158	181	172	285	274	320	110	351	152	120	141	397	
112	119	54	17	42	15	61	35	52	17	18	10	6	6	23	9	42	14	22	34	19	26	36	11	20	13	13	22	20	26	8	20	11	14	22	25	
125	295	44	28	26	7	12	16	60	1	12	3	6	2	10	4	14	0	3	7	28	11	21	3	7	2	1	8	1	4	1	16	7	1	7	18	
112	119	54	17	42	15	61	35	52	17	18	10	6	6	23	9	42	14	22	34	19	26	36	11	20	13	13	22	20	26	8	20	11	14	22	25	
1253	2006	648	825	783	230	558	206	400	215	260	125	128	122	361	102	272	167	215	412	219	251	429	90	158	181	172	285	274	320	110	351	152	120	141	397	
2	6	2	3	3	1	2	1	3	0	0	0	1	2	0	0	1	1	0	1	0	1	0	0	1	2	1	1	1	1	1	0	0	0	0	0	
1363	2119	700	839	822	244	617	240	449	232	278	135	133	126	384	111	313	180	237	445	238	276	465	101	177	192	184	306	293	345	117	371	163	134	163	422	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	0	0	4	0	1	1	2	1	1	0	1	0	2	0	1	1	1	0	2	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	
31	177	10	12	9	3	5	5	24	7	4	1	2	3	9	3	8	3	10	12	8	5	9	4	3	3	6	10	5	4	4	18	5	3	3	5	
40	23	15	15	11	4	8	4	36	5	6	1	3	7	8	1	3	3	8	10	18	9	10	1	3	4	4	5	3	5	2	13	6	2	5	13	
1279	1914	671	802	792	235	599	227	380	216	265	133	127	116	362	106	297	169	216	423	209	260	440	93	166	181	170	289	281	331	111	335	152	127	155	398	
6	1	2	3	1	2	1	1	5	1	1	0	0	0	1	1	1	1	1	0	1	2	0	0	1	2	0	2	1	1	0	0	0	0	0	1	
1	1	1	2	2	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	2	1	1	0	4	0	1	1	0	3	0	1	0	2	
1	1	1	2	2	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	2	0	0	1	1	0	0	0	0	0	1	
2	1	0	3	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	2	
