"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	
1719	1731	1252	1267	1721	1486	1900	1715	1404	2004	2063	2310	1701	2003	1537	1263	1254	1931	1659	1720	1325	1980	1818	1160	2032	1512	1745	1699	1641	1880	1626	1550	1643	1964	1583	1438	723	2188	2158	1843	474	1318	1878	605	1131	1012	1292	947	988	1751	1525	1504	1569	1313	1682	1273	1463	1483	1518	1754	1407	1712	1686	1728	1561	1114	1744	2237	2375	1580	1779	2190	1536	
1700	1700	1200	1300	1650	1400	1800	1700	1300	1950	2050	2400	1750	2000	1550	1300	1250	2050	1650	1600	1300	1950	1850	1200	1950	1600	1700	1900	1700	1950	1750	1650	1700	2050	1500	1450	850	2200	2250	2000	474	1350	1950	630	1200	1050	1450	1000	950	1850	1650	1500	1550	1350	1750	1300	1550	1550	1500	1850	1550	1750	1650	1850	1600	1200	1950	2400	2400	1650	1800	2350	1450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1417	1214	843	980	1290	981	1279	1145	930	1448	1208	1601	1234	1303	973	894	921	1241	983	975	802	1353	1206	870	1080	907	996	1118	1033	1129	1000	1017	912	1193	995	813	514	1365	1379	1206	399	915	1288	530	701	799	839	529	650	1143	1167	970	949	977	1121	952	1095	1061	963	1079	976	1089	944	1347	920	540	1450	1385	1412	1197	1332	1743	927	
12	6	158	3	8	7	5	3	34	7	7	13	80	5	12	6	6	23	15	10	7	7	9	10	14	2	3	5	11	6	9	5	9	8	11	7	4	11	14	10	40	7	6	17	10	5	8	7	51	15	6	6	16	8	5	2	8	10	6	7	9	4	5	2	9	5	5	11	11	8	11	9	4	
271	480	199	317	352	412	516	552	336	495	835	786	436	692	565	400	323	786	652	615	491	590	635	320	856	691	701	777	656	815	741	628	779	849	494	630	332	824	857	784	35	428	656	83	489	246	603	464	249	692	477	524	585	365	624	346	447	479	531	764	565	657	701	501	671	655	495	1004	977	445	457	598	519	
12	6	158	3	8	7	5	3	34	7	7	13	80	5	12	6	6	23	15	10	7	7	9	10	14	2	3	5	11	6	9	5	9	8	11	7	4	11	14	10	40	7	6	17	10	5	8	7	51	15	6	6	16	8	5	2	8	10	6	7	9	4	5	2	9	5	5	11	11	8	11	9	4	
1417	1214	843	980	1290	980	1279	1145	930	1448	1206	1601	1234	1300	972	894	921	1241	983	974	802	1353	1204	862	1080	890	993	1118	1033	1129	1000	1017	912	1182	995	809	514	1365	1379	1206	399	915	1288	530	701	799	839	529	650	1143	1167	970	949	977	1121	952	1095	1061	962	1079	976	1089	944	1347	920	540	1450	1385	1412	1197	1332	1743	927	
11	12	8	7	24	12	17	15	10	10	14	22	11	15	21	10	12	15	10	15	8	1	23	5	18	17	7	6	17	23	11	12	18	15	25	13	6	29	11	16	6	31	16	2	6	33	11	6	7	13	5	9	14	2	21	29	12	11	8	17	35	13	12	31	6	5	13	16	18	10	130	0	18	
1418	1208	993	976	1274	975	1267	1133	954	1445	1199	1592	1303	1290	963	890	915	1249	988	969	801	1359	1190	867	1076	875	989	1117	1027	1112	998	1010	903	1175	981	803	512	1347	1382	1200	433	891	1278	545	705	771	836	530	694	1145	1168	967	951	983	1105	925	1091	1060	960	1069	950	1080	937	1318	923	540	1442	1380	1405	1195	1213	1752	913	
