"УИК №2801"	"УИК №2802"	"УИК №2803"	"УИК №2804"	"УИК №2805"	"УИК №2806"	"УИК №2807"	"УИК №2808"	"УИК №2809"	"УИК №2810"	"УИК №2811"	"УИК №2812"	"УИК №2813"	"УИК №2814"	"УИК №2815"	"УИК №2816"	"УИК №2817"	"УИК №2818"	"УИК №2819"	"УИК №2820"	"УИК №2821"	"УИК №2822"	"УИК №2823"	"УИК №2824"	"УИК №2825"	"УИК №2826"	"УИК №2827"	"УИК №2828"	"УИК №2829"	"УИК №2830"	"УИК №2831"	"УИК №2832"	"УИК №2833"	"УИК №2834"	"УИК №2835"	"УИК №2836"	"УИК №2837"	"УИК №2838"	"УИК №2839"	"УИК №2840"	"УИК №2841"	"УИК №2842"	
1101	1176	882	838	650	1031	1020	575	159	211	134	133	318	245	363	162	662	346	216	132	541	140	671	586	552	372	609	294	787	150	145	503	212	411	438	599	217	226	429	216	1321	779	
1138	1208	882	850	680	1047	1036	591	159	225	141	138	321	246	367	177	685	376	228	136	564	147	694	590	571	381	625	335	797	154	144	514	209	424	449	608	223	230	429	225	1329	813	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
610	800	748	705	477	813	838	435	106	132	64	60	192	108	211	96	591	217	158	105	392	57	463	377	383	294	422	223	623	82	44	373	105	209	230	457	191	169	334	181	905	672	
147	137	97	83	136	129	100	93	39	54	52	48	102	125	128	66	28	106	48	15	101	67	147	184	141	60	180	71	82	50	77	105	55	188	167	64	20	25	59	21	108	68	
381	271	37	62	67	105	98	63	14	39	25	30	27	13	28	15	66	53	22	16	71	23	84	29	47	27	23	41	92	22	23	36	49	27	52	87	12	36	36	23	316	73	
147	137	97	83	136	129	100	93	39	54	52	48	102	125	128	66	28	106	48	15	101	67	147	184	141	60	180	71	82	50	77	105	55	188	167	64	20	25	59	21	108	68	
610	800	748	705	477	813	838	435	106	132	64	60	192	108	211	96	591	217	158	105	392	57	463	377	383	294	422	223	623	82	44	373	105	209	230	457	191	169	334	181	905	672	
4	4	2	0	0	3	4	1	1	0	0	0	1	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	2	2	0	0	0	0	11	7	
753	933	843	788	613	939	934	527	144	186	116	108	293	233	339	162	612	319	206	120	493	124	610	561	524	354	602	294	701	132	121	478	160	396	395	519	211	194	393	202	1002	733	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	4	3	6	4	3	2	3	0	0	0	1	0	1	2	1	0	1	2	0	0	0	6	2	3	3	0	3	0	1	0	0	0	1	0	2	0	1	0	0	1	0	
75	67	41	39	25	57	35	30	5	7	0	3	18	5	9	4	61	10	11	8	23	7	22	20	17	9	23	15	17	8	5	16	3	15	29	34	5	5	18	6	71	35	
35	44	28	27	12	12	34	16	8	5	6	3	10	3	7	4	22	23	4	4	29	5	23	26	27	11	27	21	27	7	0	8	5	24	34	8	6	10	14	5	39	35	
619	812	762	701	566	859	854	473	129	174	107	98	261	223	321	151	520	279	186	106	441	112	550	509	474	330	540	248	617	115	116	454	152	349	327	470	200	172	361	189	877	659	
7	1	2	7	1	2	1	2	1	0	1	1	0	0	0	0	5	0	1	0	0	0	2	1	0	0	2	3	4	1	0	0	0	3	3	2	0	4	0	1	7	3	
5	3	7	4	3	3	3	1	0	0	0	1	3	0	0	1	4	3	0	2	0	0	3	2	3	1	3	2	4	0	0	0	0	2	1	2	0	0	0	0	4	0	
5	1	0	4	2	1	5	1	1	0	1	0	1	0	0	1	0	3	2	0	0	0	4	0	0	0	5	1	9	0	0	0	0	1	0	0	0	2	0	1	1	1	
3	1	0	0	0	2	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	23	0	0	0	0	1	1	1	0	0	0	0	2	0	
