"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	"УИК №1478"	"УИК №1479"	"УИК №1480"	"УИК №1482"	"УИК №1483"	"УИК №1484"	"УИК №1485"	"УИК №1486"	"УИК №1487"	"УИК №1488"	"УИК №1489"	"УИК №1490"	"УИК №1491"	
1123	977	403	1063	826	453	150	220	172	537	604	180	183	281	389	159	536	531	368	326	207	224	277	308	
1200	1100	450	1200	920	500	160	250	190	560	630	190	195	310	450	160	550	550	400	310	200	230	310	310	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
624	465	207	571	491	250	102	166	123	323	282	105	98	138	186	111	348	281	255	225	84	114	178	188	
73	72	75	66	87	37	28	21	20	109	106	41	50	32	64	26	91	151	40	62	44	79	58	49	
503	563	168	563	342	213	30	63	47	128	242	44	47	140	200	23	111	118	105	23	72	37	74	73	
73	71	75	66	87	37	28	21	20	109	106	41	50	32	64	26	91	151	40	62	44	79	58	49	
624	465	207	571	491	250	102	166	123	323	282	105	98	138	186	111	348	281	255	225	84	114	178	188	
3	6	1	0	5	3	1	1	3	5	2	1	0	1	2	1	1	0	4	0	0	1	3	3	
694	530	281	637	573	284	129	186	140	427	386	145	148	169	248	136	438	432	291	287	128	192	233	234	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	1	0	2	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	1	0	0	3	
118	54	47	53	64	24	4	6	11	36	32	9	16	16	49	11	38	18	23	18	11	11	19	10	
34	39	20	29	40	23	6	11	10	15	25	4	6	9	10	1	21	16	11	13	6	6	11	9	
528	428	208	555	457	232	118	165	116	370	322	131	124	141	178	122	368	392	256	256	108	173	201	209	
3	5	4	0	1	2	0	0	0	3	2	0	0	2	4	1	8	2	0	0	0	0	0	2	
3	1	0	0	5	2	1	4	2	2	1	0	1	0	4	0	1	3	1	0	1	2	0	1	
4	0	1	0	1	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	
1	1	0	0	3	0	0	0	0	1	0	1	1	0	2	0	2	0	0	0	1	0	2	0	
