"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №875"	"УИК №876"	"УИК №877"	
1115	1318	1406	1846	505	2364	2193	2337	2183	2112	1979	2135	1905	1963	2029	1915	2317	1912	2217	2184	2693	2242	2228	2026	1964	1904	1983	2345	2127	1865	1857	1866	1927	2301	1950	2040	2324	2719	1971	1864	2113	1923	2018	2516	2823	1671	51	572	59	
1000	1200	1100	1600	450	2100	1900	2100	1900	1900	1800	1900	1700	1700	1800	1700	2100	1600	2000	1900	2300	2000	2000	1800	1800	1700	1800	2100	1900	1700	1700	1700	1700	2000	1700	1800	2100	2600	1800	1700	1900	1700	1800	2300	2600	1500	60	850	80	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
531	729	709	986	251	1378	1296	1408	1319	1174	1322	1306	1165	1240	1247	1220	1455	1363	1498	1373	1628	1405	1492	1355	1181	1201	1275	1496	1388	1179	1193	1215	1271	1416	1292	1320	1463	1741	1166	1128	1251	1201	1123	1501	1625	848	47	401	34	
23	18	26	53	136	71	42	38	26	44	35	40	45	49	31	22	29	22	18	38	31	26	47	27	18	30	22	35	31	29	26	28	32	36	26	23	53	74	152	56	43	64	59	48	32	49	3	102	25	
446	453	365	561	63	651	562	654	555	682	443	554	490	411	522	458	616	215	484	489	641	569	461	418	601	469	503	569	481	492	481	457	397	548	382	457	584	785	482	516	606	435	618	751	943	603	10	347	21	
23	18	26	53	136	71	42	38	26	44	35	40	45	49	31	22	29	22	18	38	31	26	47	27	18	30	22	35	31	29	26	28	32	36	26	23	53	74	152	56	43	64	59	48	32	49	3	102	25	
531	639	709	986	251	1378	1296	1407	1318	1170	1322	1306	1165	1240	1246	1218	1455	1361	1496	1373	1627	1405	1491	1354	1180	1201	1275	1496	1388	1179	1193	1213	1271	1416	1292	1319	1463	1741	1166	1128	1251	1201	1122	1498	1625	848	47	401	34	
8	11	6	13	18	15	19	10	18	19	10	13	8	13	12	13	17	9	14	18	18	11	10	10	17	7	10	22	14	8	12	7	18	13	11	20	13	10	16	13	25	18	4	10	16	8	0	3	1	
546	646	729	1026	369	1434	1319	1435	1326	1195	1347	1333	1202	1276	1265	1227	1467	1374	1500	1393	1640	1420	1528	1371	1181	1224	1287	1509	1405	1200	1207	1234	1285	1439	1307	1322	1503	1805	1302	1171	1269	1247	1177	1536	1641	889	50	500	58	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	2	18	5	16	16	6	11	11	16	4	8	11	10	17	16	14	14	19	18	9	21	10	11	7	8	13	9	17	8	9	13	7	4	8	17	9	12	10	7	11	11	9	5	7	1	6	1	
53	84	105	144	22	157	169	179	180	177	193	173	172	182	174	166	206	204	206	204	223	213	182	187	158	175	159	185	202	170	152	149	210	222	171	176	172	146	210	138	155	150	148	200	244	95	2	56	4	
48	48	70	111	38	107	134	112	88	97	86	88	77	75	96	92	98	92	93	94	86	107	87	79	62	86	87	111	94	76	101	105	82	103	81	101	124	145	93	71	104	103	89	108	117	62	3	41	4	
407	472	517	695	277	1050	910	1051	950	830	953	958	841	908	884	866	1015	969	1075	950	1121	971	1105	1001	840	892	931	1097	1002	868	865	896	892	1017	961	943	1107	1401	931	902	952	925	870	1137	1207	688	42	374	47	
17	13	14	27	15	49	39	37	35	37	38	40	42	39	32	40	54	38	45	61	77	53	57	36	42	22	45	43	32	23	35	28	43	51	41	43	34	50	29	24	16	30	20	36	21	11	0	10	0	
3	4	3	13	5	5	6	11	17	9	13	4	9	7	9	5	8	10	6	7	15	10	5	5	9	10	8	8	9	12	5	8	5	5	12	8	8	10	3	4	5	7	14	11	16	5	0	1	2	
9	6	10	7	2	21	11	16	16	11	10	20	12	11	22	14	19	10	17	19	44	22	22	16	26	9	24	27	21	11	9	18	13	14	15	20	13	19	13	10	13	7	11	12	6	6	2	5	0	
6	19	8	11	5	29	34	23	29	23	38	46	41	43	38	27	51	37	44	39	56	35	49	37	33	23	25	25	36	23	32	21	27	20	22	23	28	25	11	12	17	14	14	23	25	15	0	7	0	
