"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	
1573	1081	1164	529	114	83	477	209	132	143	98	350	115	72	
1720	1140	1230	580	130	109	500	220	140	150	115	395	125	95	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
916	621	560	313	83	52	229	125	57	82	71	202	73	28	
107	83	120	49	19	13	89	15	12	22	12	52	12	18	
697	436	550	218	28	44	182	80	71	46	32	141	40	49	
107	83	120	49	19	13	89	15	12	22	12	52	12	18	
916	621	560	313	83	52	229	125	57	82	71	202	73	28	
9	10	13	4	0	0	0	3	0	0	0	3	0	0	
1014	694	667	358	102	65	318	137	69	104	83	251	85	46	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	8	7	1	1	1	1	0	0	1	1	1	2	0	
172	93	117	55	6	6	33	13	10	9	3	18	4	3	
111	64	78	42	20	1	47	15	11	18	4	24	9	4	
683	501	448	248	71	56	225	105	48	75	73	200	67	36	
16	11	7	3	2	0	6	1	0	0	2	0	3	1	
8	7	6	7	2	0	3	2	0	1	0	4	0	0	
8	5	3	0	0	1	2	0	0	0	0	3	0	1	
8	5	1	2	0	0	1	1	0	0	0	1	0	1	
