"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №780"	"УИК №781"	
1568	1514	1620	1651	1494	971	993	1296	1258	1206	1077	1028	1281	1269	1255	970	995	1567	1023	954	1194	1129	1741	1211	2159	1856	1945	1337	1426	1338	1531	1466	1520	1247	1262	1287	1281	1132	1593	1539	1884	1543	1458	1413	1403	1473	1362	1273	1307	529	163	
899	863	1010	1500	1300	900	900	748	762	652	631	621	773	720	692	517	538	1300	1000	900	1200	1100	1700	1100	2100	1800	1900	1300	1400	1300	1500	1400	1500	1200	1200	1200	1200	1100	1500	1500	1700	1500	1400	1400	1400	1400	1300	1300	1200	532	166	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
874	835	992	986	942	536	538	715	733	633	603	607	748	686	651	500	519	675	661	573	702	652	853	668	1175	1115	939	624	569	679	704	706	782	664	654	642	607	650	1026	949	1205	953	762	762	768	829	636	593	628	527	90	
25	28	18	35	28	8	21	33	29	19	28	14	25	34	41	17	19	187	20	7	39	50	39	16	31	15	43	31	86	36	58	43	56	45	29	50	76	27	13	41	33	61	24	27	40	27	41	42	24	2	65	
0	0	0	479	330	356	341	0	0	0	0	0	0	0	0	0	0	438	319	320	459	398	808	416	894	670	918	645	745	585	738	651	662	491	517	508	517	423	461	510	462	486	614	611	592	544	623	665	548	3	11	
25	28	18	35	28	8	21	33	29	19	28	14	25	34	41	17	19	187	20	7	39	50	39	16	31	15	43	31	86	36	58	43	56	45	29	50	76	27	13	41	33	61	24	27	40	27	40	42	24	2	65	
870	833	986	984	942	536	536	714	732	632	603	605	742	684	651	500	519	675	661	573	702	652	853	667	1174	1115	937	624	569	679	704	706	782	664	654	642	607	650	1025	949	1205	951	762	761	768	829	636	593	628	527	90	
13	6	18	17	13	11	0	3	5	5	0	3	10	10	7	6	5	6	7	7	14	8	18	8	16	13	9	7	8	3	2	7	10	6	6	5	4	2	11	13	17	13	11	10	11	4	8	5	3	29	0	
882	855	986	1002	957	533	557	744	756	646	631	616	757	708	685	511	533	856	674	573	727	694	874	675	1189	1117	971	648	647	712	760	742	828	703	677	687	679	675	1027	977	1221	999	775	778	797	852	668	630	649	500	155	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	11	10	9	10	7	8	7	6	6	6	5	12	9	9	11	5	6	12	7	10	4	7	9	15	13	5	4	11	6	7	8	6	3	3	4	7	4	9	7	14	13	8	6	6	4	4	9	6	2	2	
109	109	144	125	140	77	75	101	96	84	85	79	118	86	114	66	50	80	92	85	93	104	124	86	177	155	136	92	73	95	95	75	91	93	77	93	104	94	131	121	157	159	99	105	96	89	83	81	86	22	14	
65	54	62	76	67	28	47	51	42	48	41	39	56	53	43	43	34	74	56	35	43	37	47	59	83	79	76	37	54	42	62	54	60	48	70	60	42	47	61	70	116	41	59	57	53	68	59	56	47	123	15	
631	617	701	707	671	365	380	530	561	462	460	449	527	526	477	356	416	657	472	409	532	508	669	487	836	791	683	485	484	538	570	576	634	521	499	504	484	491	772	738	878	738	569	562	598	640	486	451	488	305	122	
34	29	29	32	34	27	20	23	26	22	20	21	21	15	16	20	12	20	13	18	25	23	12	19	42	34	29	18	8	7	11	16	17	18	8	14	16	15	25	20	20	18	17	24	19	15	18	14	7	37	0	
2	9	5	6	11	4	6	4	4	3	9	3	2	2	6	2	2	3	4	3	2	2	0	7	7	12	8	4	6	5	4	6	2	7	10	8	10	7	10	7	10	5	7	6	8	11	6	9	5	4	1	
10	7	19	19	13	8	10	14	11	10	3	8	8	7	4	7	5	10	12	6	3	6	7	5	12	13	6	5	2	8	6	3	9	6	6	2	7	5	7	5	14	13	9	8	12	12	7	2	3	3	0	
15	19	16	28	11	17	11	14	10	11	7	12	13	10	16	6	9	6	13	10	19	10	8	3	17	20	28	3	9	11	5	4	9	7	4	2	9	12	12	9	12	12	7	10	5	13	5	8	7	4	1	
