"УИК №2801"	"УИК №2802"	"УИК №2803"	"УИК №2804"	"УИК №2805"	"УИК №2806"	"УИК №2807"	"УИК №2808"	"УИК №2809"	"УИК №2810"	
266	336	535	703	447	1690	2156	2335	1678	625	
257	340	570	740	448	1773	2255	2438	1775	625	
0	0	0	0	0	0	0	0	0	0	
124	125	253	301	203	826	1067	1314	970	293	
43	18	24	37	22	53	95	82	26	9	
90	197	293	402	223	894	1093	1042	779	323	
43	18	24	37	22	53	95	82	26	9	
124	125	253	301	203	825	1067	1314	970	293	
2	5	4	2	3	20	23	30	15	6	
165	138	273	336	222	858	1139	1366	981	296	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	4	5	3	0	6	7	13	8	0	
28	33	55	79	42	205	229	308	231	80	
20	15	38	46	11	100	123	124	113	45	
113	83	170	204	165	529	759	880	600	161	
3	0	1	1	1	9	4	13	6	5	
1	2	2	3	0	5	6	12	15	2	
0	1	0	0	2	1	7	8	8	2	
0	0	2	0	1	3	4	8	0	1	
