"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	
2606	2800	2241	2477	1206	702	786	2502	2326	2271	2398	2733	2665	1048	1633	2209	2114	2514	2540	2297	1582	787	2590	2465	1895	604	1901	2579	2568	2250	856	749	949	295	1024	1798	210	278	23	55	39	28	25	24	25	92	24	24	27	28	28	54	24	23	30	20	
2349	2708	2272	2627	1154	670	750	2445	2400	2362	2502	2658	2657	1032	1635	2302	2269	2558	2688	2362	1570	800	2568	2488	2000	600	1924	2719	2601	2288	850	850	960	308	1024	1832	202	300	23	55	39	28	25	24	25	100	26	26	29	30	30	58	28	23	30	20	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1911	1836	1565	1526	854	374	398	1703	1534	1486	1730	1757	1936	656	1131	1474	1466	1684	1681	1615	1009	412	1717	1630	1210	306	1206	1761	1700	1342	552	457	600	160	640	1142	120	182	23	55	39	28	25	24	25	92	24	24	27	28	28	54	24	23	30	20	
35	66	35	46	20	9	64	38	35	54	37	43	35	7	24	36	78	33	32	41	40	24	34	33	26	6	38	33	111	34	9	19	25	64	12	27	82	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
403	806	672	1055	280	287	288	704	831	822	735	858	686	369	480	792	725	841	975	706	521	364	817	825	764	288	680	925	790	912	289	374	335	84	372	663	0	22	0	0	0	0	0	0	0	8	2	2	2	2	2	4	4	0	0	0	
35	66	35	46	20	9	64	38	35	54	37	43	34	7	24	36	78	33	32	41	40	24	34	33	26	6	38	33	111	34	9	19	25	64	12	27	82	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1911	1835	1565	1524	854	374	398	1703	1534	1486	1727	1757	1935	655	1131	1474	1466	1681	1681	1614	1009	412	1717	1629	1210	306	1206	1759	1700	1340	552	457	600	160	640	1142	120	182	23	55	39	28	25	24	25	92	24	24	27	28	28	54	24	23	30	20	
29	27	17	21	9	7	6	17	21	22	25	22	18	8	13	10	15	32	28	25	10	6	30	21	21	4	16	28	32	12	4	2	9	2	11	20	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	
1917	1874	1583	1549	865	376	456	1724	1548	1518	1739	1778	1951	654	1142	1500	1529	1682	1685	1630	1039	430	1721	1641	1215	308	1228	1764	1779	1362	557	474	616	222	641	1149	199	276	23	55	39	28	25	24	25	92	24	24	27	28	28	49	24	23	30	20	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	15	8	7	5	1	1	21	8	4	8	10	8	3	8	13	6	8	12	10	4	4	8	9	3	2	1	15	9	9	0	1	3	0	2	9	5	2	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	
311	308	252	243	101	54	76	257	238	238	260	263	333	114	204	243	245	213	269	272	173	60	238	293	175	46	229	281	271	206	76	75	109	28	100	170	7	43	2	4	2	2	2	2	0	7	1	0	1	6	0	4	2	0	2	5	
115	120	97	115	53	39	42	93	94	104	113	139	118	46	79	119	104	143	120	120	87	38	149	126	106	26	100	137	149	107	41	39	53	19	54	110	15	26	0	4	2	0	2	1	0	10	3	5	5	7	1	14	2	3	2	0	
1393	1341	1163	1125	664	273	323	1263	1143	1112	1298	1286	1420	461	801	1080	1128	1259	1234	1164	736	317	1259	1155	887	227	875	1274	1278	1000	414	353	444	167	471	822	169	203	21	47	35	26	21	21	25	72	16	15	15	12	27	27	19	20	26	15	
38	43	23	21	16	3	7	44	33	33	25	37	26	13	19	17	24	21	32	20	15	2	34	27	18	2	8	26	36	22	8	1	3	3	5	11	2	2	0	0	0	0	0	0	0	2	2	3	2	1	0	2	1	0	0	0	
10	9	9	9	7	2	4	9	8	6	5	12	9	8	9	10	3	8	5	15	6	1	17	11	8	1	5	9	10	5	7	1	2	2	4	8	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	
12	22	15	13	14	2	3	12	7	11	13	14	18	7	12	9	12	19	6	11	9	3	10	8	8	1	7	8	10	6	2	2	1	1	3	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
24	16	16	16	5	2	0	25	17	10	17	17	19	2	10	9	7	11	7	18	9	5	6	12	10	3	3	14	16	7	9	2	1	2	2	9	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
