"УИК №1878"	"УИК №1879"	"УИК №1880"	"УИК №1881"	"УИК №1882"	"УИК №1883"	"УИК №1884"	"УИК №1885"	"УИК №1886"	"УИК №1887"	"УИК №1888"	"УИК №1889"	"УИК №1890"	"УИК №1891"	"УИК №1892"	"УИК №1893"	"УИК №1894"	"УИК №1895"	"УИК №1896"	"УИК №1897"	"УИК №1898"	"УИК №1899"	"УИК №1900"	"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	
639	699	1149	780	824	561	701	781	446	447	403	153	111	325	192	327	575	376	487	159	104	402	186	106	298	306	153	232	248	365	299	264	225	432	303	349	342	
700	700	1100	750	800	550	700	750	450	450	400	150	100	320	200	310	600	380	490	160	100	400	180	100	300	310	150	240	240	350	300	250	230	400	300	350	340	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
583	536	713	700	528	423	523	559	334	342	290	115	64	210	133	258	296	267	402	133	59	338	156	56	190	228	105	187	146	238	165	173	112	230	133	227	223	
56	62	22	49	92	53	69	80	91	43	30	15	20	46	35	25	91	74	38	11	38	30	11	35	65	25	21	29	69	91	116	40	76	96	80	70	76	
61	102	365	1	180	74	108	111	25	65	80	20	16	64	32	27	213	39	50	16	3	32	13	9	45	57	24	24	25	21	19	37	42	74	87	53	41	
56	62	22	49	92	53	69	80	91	43	30	15	20	46	35	25	91	74	38	11	38	30	11	35	65	25	21	29	69	91	116	40	76	96	80	70	76	
583	536	713	700	528	423	523	559	334	342	290	115	64	210	133	258	296	267	402	133	59	338	156	56	190	228	105	187	146	238	165	173	112	230	133	227	223	
1	4	3	0	0	4	3	5	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	4	0	0	1	0	0	0	0	0	0	
638	594	732	749	620	472	589	634	425	382	320	130	84	256	168	282	387	341	440	144	97	368	167	90	255	251	126	212	215	329	280	213	188	326	213	297	299	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	2	1	0	2	2	2	0	2	2	2	1	2	1	2	0	0	0	0	0	0	0	0	5	0	1	4	5	2	2	1	2	0	0	0	1	
25	47	93	68	72	51	33	68	8	47	32	5	7	21	12	32	37	15	57	3	3	20	15	5	15	24	8	11	18	25	11	9	24	12	21	20	15	
31	14	50	9	25	17	20	37	7	18	26	7	7	8	5	12	24	3	6	9	2	5	9	2	17	20	11	6	3	20	15	2	8	11	10	18	15	
566	522	566	663	510	391	523	508	403	314	256	116	68	222	150	234	322	323	368	131	92	339	139	81	217	203	106	191	186	277	250	198	154	296	175	255	265	
8	4	11	2	7	4	4	7	2	0	1	0	0	0	0	0	1	0	3	0	0	3	2	1	0	1	0	0	1	1	1	0	0	4	0	2	1	
3	2	5	4	3	3	1	7	1	1	2	0	0	1	0	1	0	0	3	0	0	0	0	1	1	2	0	0	2	2	1	2	0	2	1	1	1	
1	2	4	2	3	3	3	3	0	0	1	0	1	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	5	1	0	
4	2	1	0	0	1	3	2	4	0	0	0	0	0	0	0	3	0	3	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	
