"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	
1081	1037	483	1113	1111	983	493	843	427	552	341	592	511	311	459	315	401	353	718	391	344	330	1062	655	597	402	615	137	300	833	387	300	
1020	1000	460	1050	1060	940	470	790	405	530	332	583	500	305	445	300	385	340	690	375	330	315	1010	630	570	390	600	130	285	790	375	285	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
827	732	398	952	884	696	377	641	324	499	311	541	452	296	407	266	332	283	631	340	296	299	903	570	525	360	529	120	257	588	341	239	
72	143	37	38	53	87	47	68	49	30	20	40	47	6	37	32	44	24	58	35	34	15	96	55	43	26	69	10	28	76	34	31	
121	125	25	60	123	157	46	81	32	1	1	2	1	3	1	2	9	33	1	0	0	1	11	5	2	4	2	0	0	126	0	15	
72	143	37	38	53	87	47	68	49	30	20	40	47	6	37	32	44	24	58	35	34	15	96	55	43	26	69	10	28	76	34	31	
827	732	398	952	884	696	377	641	324	499	311	541	452	296	407	266	332	283	631	340	296	299	903	570	525	360	529	120	257	588	341	239	
3	2	8	8	8	4	3	9	5	0	0	0	0	1	1	0	1	0	0	0	0	1	2	0	1	1	0	0	0	14	0	1	
896	873	427	982	929	779	421	700	368	529	331	581	499	301	443	298	375	307	689	375	330	313	997	625	567	385	598	130	285	650	375	269	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	3	1	2	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	4	0	1	
72	5	20	57	43	72	46	92	8	8	4	10	8	4	2	7	3	11	9	2	3	4	20	5	13	5	4	2	7	42	4	6	
14	15	11	44	22	40	4	49	7	2	3	2	3	4	1	12	3	3	8	1	2	3	8	4	9	3	4	2	4	36	1	11	
794	844	385	865	850	650	367	549	347	514	322	566	488	292	436	275	365	291	669	371	325	306	967	615	539	375	586	125	274	563	370	250	
3	1	2	5	4	6	1	5	1	1	1	1	0	0	1	0	1	0	2	1	0	0	0	1	2	1	0	0	0	0	0	0	
8	0	5	8	5	6	1	4	3	1	0	1	0	0	1	1	2	2	1	0	0	0	0	0	2	1	3	0	0	3	0	1	
1	7	0	2	2	2	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	
1	1	1	0	1	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
