"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	
519	73	215	1564	365	119	
530	55	255	1555	380	125	
0	0	0	31	13	0	
386	55	167	1002	263	69	
27	0	9	100	15	4	
117	0	79	422	89	52	
27	0	9	131	28	4	
386	55	167	1002	263	69	
3	0	4	14	3	0	
410	55	172	1119	288	73	
0	0	0	0	0	0	
0	0	0	0	0	0	

7	0	2	2	0	0	
38	5	25	97	4	10	
72	3	13	101	34	3	
277	45	122	883	242	58	
10	0	3	13	4	0	
3	0	1	7	0	0	
2	2	2	7	3	1	
1	0	4	9	1	1	
