"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	
718	502	1276	2740	2883	2891	2365	2871	2808	2874	2342	2024	1994	2550	2834	2501	2019	1023	
827	514	1295	2777	2925	2937	2350	2924	2910	2904	2402	2080	2032	2612	2863	2554	2063	1060	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
636	452	1170	2540	2696	2706	2177	2609	2574	2577	2159	1886	1832	2385	2595	2311	1865	917	
26	16	21	35	14	25	22	32	51	47	19	17	24	25	21	32	35	29	
165	46	104	202	215	206	151	283	285	280	224	177	176	202	247	211	163	114	
26	16	21	35	14	25	22	32	51	47	19	17	24	25	21	32	35	29	
635	450	1169	2539	2694	2705	2176	2608	2572	2576	2158	1885	1830	2384	2594	2310	1864	915	
3	1	1	2	3	3	1	2	2	3	1	1	1	2	3	2	1	2	
658	465	1189	2572	2705	2727	2197	2638	2621	2620	2176	1901	1853	2407	2612	2340	1898	942	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	4	5	3	3	3	4	4	5	4	3	4	5	4	6	3	2	
23	22	30	80	101	93	92	90	99	80	52	63	68	87	104	119	75	31	
7	4	4	5	29	26	31	32	27	21	5	21	12	18	39	34	32	9	
614	423	1141	2470	2534	2592	2031	2479	2473	2501	2102	1803	1756	2285	2436	2160	1773	884	
2	3	2	5	4	3	5	5	4	4	3	3	3	4	3	4	3	3	
3	3	3	2	13	3	11	9	4	4	4	3	4	3	2	2	2	4	
4	5	3	2	15	4	16	17	8	3	3	3	4	3	10	8	8	5	
3	2	2	3	6	3	8	2	2	2	3	2	2	2	14	7	2	4	
