"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	
2882	2933	2400	2242	2778	2485	2426	2768	2429	2439	2734	2595	2689	3111	2874	3101	3024	2666	2383	2585	
2500	2500	2200	2200	2500	2200	2200	2500	2200	2200	2500	2200	2200	2500	2500	2500	2500	2500	2200	2500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2057	1753	1342	1356	2028	1790	1675	1651	1620	1457	1734	1742	1612	1829	1770	2059	1799	1507	1414	1581	
68	47	48	28	44	79	77	51	99	55	22	36	28	33	81	52	51	57	67	31	
375	700	810	816	427	331	448	788	481	688	744	415	559	638	648	389	650	936	716	885	
68	47	48	28	44	79	77	51	99	55	22	36	28	33	81	52	51	57	67	31	
2057	1753	1342	1356	2028	1790	1675	1651	1619	1457	1734	1742	1603	1829	1770	2059	1799	1507	1414	1578	
21	22	24	24	41	26	30	30	13	17	34	26	19	32	31	79	20	28	20	16	
2104	1778	1366	1360	2031	1843	1722	1672	1705	1495	1722	1752	1612	1830	1820	2032	1830	1536	1461	1593	
0	0	0	0	1	0	0	10	0	0	0	7	1	0	1	0	0	0	3	3	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	13	15	8	13	16	23	14	12	12	9	11	13	9	8	9	12	11	9	9	
198	196	141	164	198	221	224	210	169	165	182	220	190	246	232	229	201	169	78	190	
89	102	102	82	107	119	105	117	59	78	113	100	88	116	102	132	92	82	52	85	
1690	1370	1037	1032	1628	1394	1267	1218	1362	1138	1342	1312	1244	1350	1389	1567	1443	1185	1298	1239	
52	44	33	37	36	40	34	62	40	38	34	42	34	47	44	50	35	35	10	28	
15	8	8	9	7	9	22	8	14	16	9	9	12	15	8	14	10	19	4	6	
13	19	12	6	25	21	14	18	24	21	13	24	11	21	9	16	22	14	8	17	
35	26	18	22	17	23	33	25	25	27	20	34	20	26	28	15	15	21	2	19	
