"УИК №151"	"УИК №152"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	
1996	2008	528	180	209	183	866	250	256	99	424	123	142	215	667	188	110	163	590	171	349	365	56	267	104	74	211	79	80	84	840	1450	
2000	2000	400	150	200	150	800	200	200	70	400	100	100	200	600	150	100	150	500	150	300	300	50	230	100	70	200	60	60	60	700	1300	
0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1173	1132	330	121	130	108	467	106	130	46	219	53	86	128	325	89	42	78	359	97	204	253	33	182	56	53	130	51	56	43	422	791	
97	59	13	7	17	12	47	6	6	6	16	8	6	9	55	14	4	10	27	6	32	21	8	20	13	1	8	3	4	12	51	73	
730	809	57	22	53	30	286	88	64	18	165	26	8	63	220	47	38	62	114	47	64	26	9	28	31	16	62	6	0	5	227	436	
97	59	13	7	17	12	47	6	6	6	16	21	6	9	55	14	20	10	27	6	32	21	8	20	13	1	8	3	4	12	51	73	
1173	1132	330	121	130	108	467	106	130	46	219	53	86	128	325	89	42	78	359	97	204	253	33	182	56	53	130	51	56	43	422	791	
19	5	2	3	0	0	3	1	2	0	3	0	1	4	5	0	0	1	1	1	0	2	0	3	0	0	0	1	0	0	1	13	
1251	1186	341	125	147	120	511	111	134	52	232	74	91	133	375	103	62	87	385	102	236	272	41	199	69	54	138	53	60	55	472	851	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	6	6	0	0	1	4	0	1	0	0	0	0	4	0	4	0	2	2	0	3	1	0	2	1	0	0	0	0	0	0	7	
152	104	20	14	4	5	76	6	8	4	30	4	3	9	47	2	3	7	30	4	29	17	4	21	4	0	13	3	6	3	34	79	
100	100	18	8	9	15	45	14	14	2	17	7	5	16	48	5	9	7	25	15	14	12	4	9	7	9	15	2	1	6	46	82	
969	955	293	103	132	97	377	89	109	44	181	63	82	101	271	88	50	68	319	81	179	238	32	164	52	45	109	46	50	46	377	667	
5	8	0	0	0	0	3	0	1	0	1	0	0	1	4	4	0	0	4	1	4	1	0	2	0	0	0	1	2	0	4	4	
8	4	4	0	0	2	1	1	1	1	2	0	0	2	2	0	0	0	4	0	3	2	1	1	1	0	1	1	1	0	9	5	
2	5	0	0	1	0	3	1	0	0	1	0	1	0	2	0	0	3	1	1	2	0	0	0	1	0	0	0	0	0	1	4	
4	4	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	1	3	
