"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	
231	257	246	197	197	85	76	154	176	491	1375	1509	
240	270	270	120	230	90	80	190	190	500	1200	1200	
0	0	0	0	0	0	0	0	0	0	0	0	
120	128	99	43	111	40	42	86	93	254	841	820	
22	36	55	22	30	19	23	31	23	52	105	131	
98	106	116	55	89	31	15	73	74	194	254	249	
22	36	55	22	30	19	23	31	23	52	105	131	
120	128	99	43	111	40	42	86	93	254	841	820	
1	5	3	0	0	0	0	0	1	2	8	10	
141	159	151	65	141	59	65	117	115	304	938	941	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	0	1	1	0	1	1	1	8	10	
12	18	10	10	11	5	14	11	19	41	151	171	
14	7	18	4	14	5	5	13	7	28	103	103	
112	132	119	50	112	44	45	90	84	224	640	642	
0	0	1	0	2	2	0	2	3	3	14	6	
1	1	2	0	0	1	1	0	1	3	9	4	
0	1	0	0	1	0	0	0	0	2	8	2	
1	0	0	1	0	1	0	0	0	2	5	3	
