"УИК №2501"	"УИК №2502"	"УИК №2503"	"УИК №2504"	"УИК №2505"	"УИК №2506"	"УИК №2507"	"УИК №2508"	"УИК №2509"	"УИК №2510"	"УИК №2511"	"УИК №2512"	"УИК №2513"	
613	215	198	152	97	614	342	70	78	94	318	580	1859	
570	200	160	150	80	560	300	70	70	140	300	500	1600	
0	0	0	0	0	0	0	0	0	0	0	0	0	
435	96	111	66	72	441	160	51	52	41	137	240	1099	
56	47	35	53	8	41	89	12	11	22	94	144	215	
79	57	14	31	0	78	51	7	7	77	69	116	286	
56	47	35	53	8	41	89	12	11	22	94	144	215	
435	96	111	66	72	441	160	51	52	41	137	240	1099	
9	0	1	0	0	7	4	1	0	1	1	5	13	
482	143	145	119	80	475	245	62	63	62	230	379	1301	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	2	3	0	3	2	0	0	0	1	2	5	
27	9	9	8	12	72	23	7	3	7	25	45	116	
28	10	7	5	10	32	11	4	6	4	21	22	90	
415	122	126	103	57	363	206	50	54	50	178	305	1068	
2	1	0	0	1	2	1	0	0	0	2	3	5	
4	0	0	0	0	1	2	1	0	1	3	2	9	
2	0	0	0	0	1	0	0	0	0	0	0	5	
0	0	1	0	0	1	0	0	0	0	0	0	3	
