"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	
331	1139	242	284	465	313	252	170	231	
330	1100	240	280	460	330	250	170	240	
0	0	0	0	0	0	0	0	0	
211	583	171	165	361	214	198	133	170	
78	160	43	48	38	83	35	25	44	
41	357	26	67	61	33	17	12	26	
78	160	43	48	38	83	35	25	44	
211	583	171	165	361	214	198	133	170	
2	10	4	1	2	1	1	0	2	
287	733	210	212	397	296	232	158	212	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

2	7	0	0	0	1	0	0	1	
27	124	34	26	27	10	25	19	13	
17	36	12	12	25	5	3	11	4	
237	555	161	170	342	278	199	127	194	
0	3	3	1	1	1	4	1	0	
2	5	0	1	2	1	0	0	0	
2	0	0	0	0	0	1	0	0	
0	3	0	2	0	0	0	0	0	
