"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	
284	999	767	1570	1529	1266	184	318	282	347	236	128	247	262	369	234	
280	990	770	1550	1500	1250	180	320	280	340	230	130	250	260	360	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
210	656	501	1382	1315	988	155	280	245	315	165	100	200	219	323	219	
52	80	146	80	56	38	24	36	29	25	65	13	28	35	27	8	
18	254	123	88	129	224	1	4	6	0	0	17	22	6	10	3	
52	80	146	80	56	38	24	36	29	25	65	13	28	35	27	8	
210	656	501	1382	1315	988	155	280	245	315	165	100	200	219	323	219	
3	18	8	3	12	8	14	0	1	0	4	2	0	0	1	1	
259	718	639	1459	1359	1018	165	316	273	340	226	111	228	254	349	226	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	9	1	4	4	2	1	1	1	0	0	1	3	1	1	
18	93	90	51	73	100	5	11	4	5	3	2	4	8	18	2	
9	50	40	16	35	33	3	11	6	10	4	6	15	9	30	5	
221	556	482	1387	1225	856	155	290	259	320	216	100	200	222	291	216	
2	9	10	1	5	7	0	0	0	2	0	1	2	1	3	1	
3	1	5	1	7	9	0	0	1	1	2	2	3	5	3	0	
3	5	1	1	5	5	0	0	0	0	0	0	2	4	3	1	
1	0	2	1	5	4	0	3	2	1	1	0	1	2	0	0	
