"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	
2030	2226	1594	1913	1746	1197	2130	1990	1181	1910	829	1933	2130	2021	1901	1271	2367	1252	2155	1473	1666	2124	1785	1755	2228	1128	1976	1628	1869	1226	2211	2226	1775	1825	1159	1911	1489	1837	1720	1054	970	1194	1588	993	772	1793	1673	1744	1780	1798	1875	1603	1833	2661	2378	1860	2919	1348	1676	2044	2210	
2000	2000	1500	2200	2300	1300	2200	2500	1100	2100	800	2000	2100	2100	2000	1300	2700	1500	2500	1500	2000	2000	2000	2000	2000	1300	2000	2000	2000	1500	2500	2500	2100	2000	1300	2100	1500	2000	1700	1000	1000	1000	1900	1000	1000	2000	2000	2000	2000	2000	2000	2000	2500	3500	3000	2500	3000	1500	2000	2500	2500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1538	1642	1175	1473	1339	899	1513	1563	899	1278	602	1422	1528	1387	1411	860	1409	894	1454	1063	1199	1437	1123	1171	1591	692	1401	1056	1230	845	1458	1422	1092	1340	756	1157	765	1259	1330	695	654	790	1180	706	559	1363	1340	1317	1435	1355	1139	1148	1226	1645	1545	1254	1829	948	1023	1290	1517	
16	22	12	34	8	20	41	30	19	38	10	47	31	41	20	25	29	13	29	16	28	35	17	30	26	23	32	16	28	25	47	39	25	42	24	12	40	17	125	33	38	36	55	42	29	3	3	3	4	6	15	5	6	11	6	3	11	29	7	6	14	
446	336	313	693	953	381	646	907	182	784	188	531	541	672	569	415	1262	593	1017	421	773	528	860	799	383	585	567	928	742	630	995	1039	983	618	520	931	695	724	245	272	308	174	665	252	412	634	657	680	561	639	846	847	1268	1844	1449	1243	1160	523	970	1204	969	
16	22	12	34	8	20	41	30	19	38	10	47	31	41	20	25	29	13	29	16	28	35	17	30	26	23	32	16	28	25	46	39	25	42	24	12	40	17	125	33	38	36	55	42	29	3	3	3	4	6	15	5	6	11	6	3	11	29	7	6	14	
1530	1633	1173	1473	1339	899	1513	1563	899	1277	602	1420	1527	1385	1407	744	1401	886	1452	1063	1199	1436	1122	1171	1591	692	1400	1055	1230	845	1455	1422	1092	1340	756	1145	765	1257	1325	695	654	787	1178	706	559	1315	1340	1317	1435	1352	1123	1146	1222	1645	1542	1254	1805	948	1017	1289	1516	
28	24	11	29	10	8	16	21	15	7	5	22	17	18	5	13	16	15	23	6	7	18	16	11	19	8	10	20	17	3	23	11	11	35	11	12	8	19	15	8	10	6	13	2	6	16	17	12	14	11	16	17	23	13	23	19	30	5	15	14	10	
1518	1631	1174	1478	1337	911	1538	1572	903	1308	607	1445	1541	1408	1422	756	1414	884	1458	1073	1220	1453	1123	1190	1598	707	1422	1051	1241	867	1478	1450	1106	1347	769	1145	797	1255	1435	720	682	817	1220	746	582	1302	1326	1308	1425	1347	1122	1134	1205	1643	1525	1238	1786	972	1009	1281	1520	
