"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №2630"	
1253	1522	948	2380	2011	1723	1962	1548	2196	657	1652	881	302	431	263	203	107	207	1145	
1250	1540	865	2450	2030	1725	1995	1560	2225	670	1630	890	280	425	260	185	105	195	1150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
649	863	583	1486	1279	1071	1260	898	1386	335	819	557	165	254	139	124	83	154	719	
32	18	21	61	42	58	40	22	41	11	64	53	35	13	10	5	10	6	38	
569	659	261	903	709	596	695	640	798	324	747	280	80	158	111	56	12	35	393	
32	18	21	61	42	58	40	22	41	11	64	53	35	13	10	5	10	6	38	
649	863	583	1485	1279	1071	1260	898	1386	335	819	557	165	254	139	124	83	154	719	
12	4	7	29	18	12	23	11	16	1	18	10	2	3	2	0	0	2	19	
669	877	597	1517	1303	1117	1277	909	1411	345	865	600	198	264	147	129	93	158	738	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	5	14	12	9	8	11	6	2	8	5	3	1	3	1	1	0	6	
99	138	90	217	176	160	203	139	236	49	132	86	19	37	32	18	7	13	120	
66	93	48	122	100	98	104	80	111	45	79	72	18	29	19	12	10	20	51	
485	616	427	1111	982	812	918	655	1022	241	623	415	152	193	91	95	71	122	538	
9	5	9	23	13	19	12	10	14	4	8	7	3	1	0	2	2	1	13	
4	8	8	8	10	5	11	8	8	1	8	6	2	3	0	1	1	2	3	
2	7	5	14	4	6	13	4	7	2	7	4	0	0	2	0	1	0	5	
2	5	5	8	6	8	8	2	7	1	0	5	1	0	0	0	0	0	2	
