"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	
882	496	872	2386	2687	2762	2319	2663	631	707	253	297	2448	954	1451	693	539	610	915	177	1349	1134	203	352	
900	510	890	2350	2700	2750	2350	2700	650	733	260	290	2500	960	1490	710	530	600	940	170	1370	1130	198	370	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
469	314	437	1216	1419	1387	1225	1302	337	366	139	120	1096	705	628	365	277	366	530	97	729	633	116	246	
44	47	45	88	96	117	71	55	44	39	19	27	101	43	125	41	29	53	81	15	126	93	20	18	
387	149	408	1046	1185	1246	1054	1343	269	328	102	143	1303	212	737	304	224	181	329	58	515	404	62	106	
44	47	45	88	96	117	71	55	44	39	19	27	101	43	125	41	29	53	81	15	126	93	20	18	
469	314	437	1216	1419	1387	1225	1302	337	366	139	120	1096	705	628	365	277	366	530	97	729	633	116	246	
6	5	4	24	20	23	26	21	6	1	1	7	17	3	11	1	6	6	10	0	13	9	1	1	
507	356	478	1280	1495	1481	1270	1336	375	404	157	140	1180	745	742	405	300	413	601	112	842	717	135	263	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	1	5	8	11	14	4	1	2	2	4	4	5	7	0	2	1	6	0	2	4	1	0	
30	10	49	144	202	168	150	154	29	24	4	13	92	54	53	23	16	19	63	8	71	44	7	14	
15	14	31	52	56	92	58	56	19	16	13	3	56	21	38	18	12	23	22	8	25	19	6	13	
455	327	388	1061	1185	1167	1020	1099	313	355	134	116	1011	653	636	359	261	361	494	91	731	639	117	236	
2	0	4	9	13	10	11	5	5	2	0	1	8	6	3	0	2	6	10	3	6	3	1	0	
2	1	5	4	18	20	10	8	5	2	1	2	6	4	3	4	2	2	5	1	5	5	1	0	
1	0	0	3	6	10	3	5	1	3	3	1	1	0	1	1	1	1	0	1	0	2	2	0	
0	1	0	2	7	3	4	5	2	0	0	0	2	2	1	0	4	0	1	0	2	1	0	0	
