"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	
187	243	218	95	951	668	891	138	269	1298	
190	200	200	100	800	600	800	140	270	1100	
0	0	0	0	0	0	0	0	0	0	
104	144	118	41	458	407	479	84	106	546	
11	10	7	10	89	23	47	10	47	165	
75	46	75	49	253	170	274	46	117	389	
11	10	7	10	89	23	47	10	47	165	
104	144	118	41	458	407	479	84	106	546	
0	1	0	0	6	8	4	0	2	7	
115	153	125	51	541	422	522	94	151	704	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	1	0	0	4	4	5	0	2	6	
6	24	34	11	68	88	81	7	37	126	
3	10	10	4	61	43	65	19	21	82	
103	111	79	36	385	273	366	63	87	476	
1	2	1	0	12	7	1	2	1	4	
1	2	1	0	7	3	2	0	3	4	
0	2	0	0	2	0	0	2	0	3	
1	1	0	0	2	4	2	1	0	3	
