"УИК №3301"	"УИК №3302"	"УИК №3303"	"УИК №3304"	"УИК №3305"	"УИК №3306"	"УИК №3307"	"УИК №3308"	"УИК №3309"	"УИК №3310"	"УИК №3311"	"УИК №3312"	"УИК №3313"	
1995	2183	619	1425	1324	726	2119	260	857	536	111	2019	554	
1800	2000	500	1200	1100	600	2000	250	700	500	95	1800	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	
1067	1181	337	796	761	348	1307	128	461	338	69	1005	334	
65	88	11	30	30	38	39	7	52	19	6	119	30	
668	731	152	374	309	214	654	115	187	143	20	676	136	
65	88	11	30	30	38	39	7	52	19	6	119	30	
1067	1181	337	796	761	348	1307	128	461	338	69	1005	334	
14	13	6	14	5	6	13	1	4	2	0	3	5	
1118	1256	342	812	786	380	1333	134	509	355	75	1121	359	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

5	15	3	5	8	2	7	3	5	6	1	1	1	
178	163	64	122	104	79	229	20	72	48	4	170	56	
121	135	30	87	63	27	100	9	39	16	2	110	66	
792	898	239	572	593	256	961	95	380	277	66	812	231	
6	15	1	10	4	8	15	3	2	3	1	9	2	
12	16	0	9	6	6	10	2	8	3	1	11	1	
4	6	2	6	5	1	7	2	3	1	0	4	0	
0	8	3	1	3	1	4	0	0	1	0	4	2	
