"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	"УИК №2217"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	"УИК №2222"	"УИК №2223"	"УИК №2224"	"УИК №2225"	"УИК №2226"	"УИК №2227"	"УИК №2228"	"УИК №2229"	"УИК №2230"	"УИК №2231"	"УИК №2232"	"УИК №2233"	"УИК №2234"	"УИК №2235"	"УИК №2236"	"УИК №2237"	"УИК №2238"	"УИК №2239"	"УИК №2240"	"УИК №2241"	"УИК №2242"	"УИК №2243"	"УИК №2244"	"УИК №2245"	"УИК №2246"	"УИК №2247"	"УИК №3742"	
2791	1932	2515	1957	2044	2009	1826	2165	2215	2049	2132	2132	2123	2272	2182	1170	1944	2226	1978	2512	2185	1634	2150	2386	2286	2289	2252	2237	2266	2118	2334	2151	2207	2211	2683	2393	2128	2618	2164	2107	2217	2450	2243	2289	295	
3300	1700	1950	1500	1600	1800	1700	1700	1600	1550	1750	1650	1650	1800	1700	1050	1550	1650	1600	2000	1700	1300	1650	1950	1700	1800	1850	1750	1700	1600	1800	1750	2700	1700	1750	1750	1750	1850	1700	1650	1800	1900	1750	1750	270	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2260	1100	1336	1046	1141	1092	1037	1216	1225	1158	1215	1168	1174	1292	1181	821	1043	1125	1015	1478	1255	964	1243	1312	1316	1290	1235	1280	1302	1360	1343	1238	1353	1303	1541	1330	1192	1540	1164	1152	1239	1424	1315	1322	210	
13	57	72	38	42	55	51	52	38	55	49	36	74	54	46	10	44	45	58	39	36	43	49	16	34	25	33	61	55	22	24	46	31	30	18	52	37	50	42	47	57	41	44	36	32	
1027	543	542	416	417	653	612	432	337	337	486	446	402	454	473	219	463	480	527	483	409	293	358	622	350	485	582	409	343	218	433	466	1316	367	191	368	521	260	494	451	504	435	391	392	28	
13	57	72	38	42	55	49	52	38	55	49	36	73	54	46	10	44	45	58	39	36	43	49	16	34	23	33	61	55	22	24	46	31	30	18	52	37	50	42	47	57	41	44	36	32	
2153	1099	1336	1045	1136	1092	986	1214	1221	1157	1213	1168	1174	1288	1180	821	1042	1125	1013	1476	1252	964	1239	1312	1313	1288	1232	1219	1298	1360	1343	1236	1352	1303	1539	1329	1192	1536	1163	1151	1236	1419	1315	1321	210	
48	16	29	52	20	10	18	37	15	15	23	17	19	16	27	19	10	13	32	51	18	9	37	16	14	50	26	15	51	30	11	23	16	20	41	16	9	23	24	24	16	31	13	25	3	
2118	1140	1379	1031	1158	1137	1017	1229	1244	1197	1239	1187	1228	1326	1199	812	1076	1157	1039	1464	1270	998	1251	1312	1333	1261	1239	1265	1302	1352	1356	1259	1367	1313	1516	1365	1220	1563	1181	1174	1277	1429	1346	1332	239	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	11	16	10	10	13	13	14	9	16	13	15	24	34	14	8	8	18	11	9	9	13	16	19	19	20	12	11	14	15	10	18	12	12	13	12	18	21	18	17	14	12	13	15	0	
420	135	190	134	129	166	140	154	167	158	174	166	169	171	178	119	143	152	113	218	182	141	152	156	187	166	138	182	162	198	189	161	193	141	246	186	146	213	119	166	151	153	162	165	23	
67	45	63	34	49	48	21	45	58	45	53	45	38	59	48	30	50	59	54	45	73	37	73	46	55	48	68	55	55	39	57	47	54	61	54	60	32	61	42	31	53	70	50	55	8	
1392	822	906	699	827	738	695	844	852	857	891	826	858	913	827	543	791	818	780	1010	896	710	899	897	928	905	926	854	920	940	923	875	957	936	948	928	858	1053	836	795	897	994	956	952	204	
119	55	69	67	54	70	48	76	62	42	44	53	60	49	48	58	35	49	39	82	55	38	46	88	62	51	41	61	59	71	83	61	74	67	110	74	77	91	73	63	75	88	57	64	2	
17	6	14	10	6	7	6	8	16	12	9	9	5	16	7	6	13	5	9	11	10	3	8	6	5	11	7	4	9	5	9	15	12	5	5	10	8	19	16	10	8	15	9	16	0	
41	15	36	18	24	40	34	28	13	12	13	18	17	21	17	21	11	19	8	23	13	17	26	35	30	14	18	23	27	27	28	28	21	27	39	26	23	32	27	22	29	38	37	28	1	
56	51	85	59	59	55	60	60	67	55	42	55	57	63	60	27	25	37	25	66	32	39	31	65	47	46	29	75	56	57	57	54	44	64	101	69	58	73	50	70	50	59	62	37	1	
