"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	
116	1779	2681	1765	1929	219	1240	1157	959	449	989	
110	2000	2500	1500	2000	270	1200	1200	1000	500	1000	
0	0	0	83	0	0	0	0	0	45	0	
89	1037	1424	975	1000	145	573	636	432	283	484	
12	48	56	12	69	19	95	35	55	45	42	
9	915	1020	430	931	106	532	529	513	127	474	
12	48	56	95	69	19	95	35	55	90	42	
89	1037	1424	975	1000	145	573	636	432	283	484	
0	17	20	11	21	4	7	11	7	8	8	
101	1068	1460	1059	1048	160	661	660	480	365	518	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

1	10	7	4	10	0	2	2	2	4	8	
16	143	232	202	164	26	122	124	87	83	72	
12	128	162	92	141	17	71	82	61	28	60	
70	757	1022	727	706	117	443	443	320	242	368	
1	8	12	14	11	0	8	1	2	3	7	
0	5	10	7	5	0	5	4	2	1	1	
0	14	8	9	6	0	4	2	3	2	2	
1	3	7	4	5	0	6	2	3	2	0	
