"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №3674"	"УИК №3675"	"УИК №3677"	"УИК №3678"	"УИК №3794"	
1878	1787	1694	1586	1638	1409	2022	1825	1864	1839	2132	1883	356	343	107	84	199	165	
1450	1400	1350	1250	1300	1100	1600	1400	1500	1400	1500	1500	350	360	130	90	210	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1023	1049	882	920	945	776	1077	1083	1113	1084	1227	1048	270	238	99	84	192	155	
51	43	62	46	46	31	41	28	37	21	29	32	0	39	8	0	7	0	
376	308	406	284	309	293	482	289	350	295	244	420	80	83	23	6	11	15	
51	43	62	46	46	31	41	28	37	21	29	32	0	39	8	0	7	0	
1019	1047	882	920	945	776	1077	1082	1113	1082	1226	1046	270	238	99	84	192	155	
15	19	15	12	14	10	20	17	12	14	22	11	4	0	1	0	5	1	
1055	1071	929	954	977	797	1098	1093	1138	1089	1233	1067	266	277	106	84	194	154	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	15	8	9	11	10	14	11	6	7	15	12	1	1	2	1	5	1	
126	134	101	113	101	91	117	165	143	138	156	105	31	21	12	11	4	17	
53	63	41	43	62	50	65	54	72	55	66	59	18	16	1	2	9	11	
761	775	706	707	728	587	808	774	828	844	896	786	187	216	85	66	167	107	
41	31	23	28	30	21	44	37	39	17	36	33	17	7	0	1	5	8	
11	10	2	8	7	6	11	11	10	7	11	17	5	5	1	0	1	1	
18	10	13	13	7	10	17	13	17	7	20	14	4	6	1	0	1	2	
33	33	35	33	31	22	22	28	23	14	33	41	3	5	4	3	2	7	
