"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	
373	569	312	483	659	860	1459	1407	683	1688	868	516	793	863	737	258	962	
380	640	350	540	700	940	1600	1550	650	1850	900	550	900	850	800	290	1000	
8	33	38	56	93	239	0	0	0	147	0	41	36	31	141	0	133	
228	346	221	280	360	396	864	715	426	907	537	383	525	492	506	197	592	
7	21	5	12	17	15	32	11	23	14	9	20	21	40	19	10	35	
137	240	86	192	230	290	704	824	201	782	354	106	318	287	134	83	240	
15	54	43	68	110	254	32	11	23	161	9	61	57	71	160	10	168	
228	346	221	280	360	396	864	715	426	907	537	383	525	492	506	197	592	
3	4	3	0	5	3	5	9	4	9	6	4	11	1	4	0	12	
240	396	261	348	465	647	891	717	445	1059	540	440	571	562	662	207	748	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	1	3	3	1	3	0	3	4	2	5	3	7	0	3	
64	47	13	46	83	120	172	137	94	210	124	46	134	72	30	25	37	
7	8	10	2	6	13	18	11	7	32	15	5	9	3	7	7	5	
163	332	226	294	366	499	689	551	338	797	389	379	416	480	610	173	688	
2	7	9	1	5	4	7	11	4	7	5	6	3	3	5	1	10	
3	2	0	3	1	1	0	2	0	1	1	2	2	0	1	0	2	
1	0	2	1	0	7	1	0	2	3	2	0	1	0	0	1	1	
0	0	0	0	1	0	3	2	0	6	0	0	1	1	2	0	2	
