"УИК №879"	"УИК №880"	"УИК №881"	"УИК №883"	"УИК №884"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	
1034	154	120	497	405	208	286	66	54	
1000	160	130	500	390	200	290	60	45	
0	10	0	0	0	29	0	0	0	
660	85	81	280	254	116	178	39	41	
44	6	4	20	31	7	38	6	1	
296	59	45	200	105	48	74	15	3	
44	16	4	20	31	36	38	6	1	
660	85	81	280	254	116	178	39	41	
7	0	1	5	3	2	3	0	0	
697	101	84	295	282	150	213	45	42	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

6	1	0	3	2	0	1	0	0	
94	1	4	35	18	5	13	2	3	
55	10	10	25	34	19	28	0	11	
528	85	70	225	223	122	166	43	28	
6	0	0	3	2	0	3	0	0	
4	1	0	1	3	3	0	0	0	
2	2	0	3	0	1	0	0	0	
2	1	0	0	0	0	2	0	0	
