"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1424"	"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	"УИК №1499"	
1153	1401	1770	1930	1677	1811	1845	2001	1474	1387	1350	1580	1128	1995	1578	1571	1918	1681	2206	1472	1570	1956	2066	2352	1661	2485	2557	2346	1983	2514	382	2763	2069	2291	2020	3197	1182	2612	1670	360	
1165	1315	1700	1880	1600	1770	1760	1835	1350	1280	1285	1710	1070	1995	1520	1600	1815	1600	2085	1365	1485	1880	2010	2190	1615	2385	2715	2295	1895	2440	379	2515	1895	2402	1980	3025	1155	2525	1553	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
645	819	1129	1143	852	1045	1017	1124	830	709	795	969	623	1090	803	906	1019	901	1183	770	808	1124	1112	1348	882	1387	1779	1242	1190	1283	253	1559	1247	1819	1642	1980	661	1506	909	94	
89	67	39	84	78	78	101	89	68	74	86	87	66	90	105	74	113	47	93	84	81	106	149	143	35	74	76	185	131	251	50	72	76	65	18	46	76	82	115	256	
431	429	532	653	670	647	642	622	452	497	404	654	381	815	612	620	683	652	809	511	596	650	749	699	698	924	860	868	574	906	76	884	572	518	320	999	418	937	529	50	
89	67	39	84	78	78	101	89	68	74	86	87	66	90	105	74	113	47	93	84	81	106	149	143	35	74	76	185	131	251	50	72	76	65	18	46	76	82	115	256	
645	817	1129	1142	852	1045	1017	1124	830	709	795	969	623	1090	803	906	1019	900	1183	770	807	1123	1112	1348	863	1385	1779	1242	1188	1283	253	1559	1247	1819	1642	1978	661	1505	909	94	
11	3	9	16	13	10	29	11	13	11	15	8	4	23	10	7	12	7	15	10	12	5	12	17	11	19	19	30	23	18	4	15	11	24	34	22	15	21	15	4	
723	881	1159	1210	917	1113	1089	1202	885	772	866	1048	685	1157	898	973	1120	940	1261	844	876	1224	1249	1474	887	1440	1836	1397	1296	1516	299	1616	1312	1860	1626	2002	722	1566	1009	346	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	6	11	12	9	9	11	11	5	0	7	8	8	16	4	6	10	6	15	7	7	10	6	17	7	12	15	18	9	10	2	8	10	14	14	10	5	7	4	0	
78	142	170	162	142	145	180	171	129	122	124	165	131	173	113	120	151	137	181	109	137	175	165	201	153	249	303	207	202	204	34	266	217	209	244	382	112	268	183	47	
29	58	56	69	45	50	82	79	41	56	53	58	36	80	45	52	47	78	86	40	49	89	68	85	58	85	95	83	79	111	29	94	82	155	144	86	35	81	45	20	
592	640	869	917	698	865	776	905	655	561	632	767	481	845	711	755	863	687	929	660	647	910	944	1114	644	1049	1359	1028	959	1145	225	1203	953	1383	1160	1454	544	1169	748	267	
4	10	14	24	7	15	10	13	23	10	19	18	11	7	5	15	20	8	16	8	11	8	26	22	13	14	28	24	14	14	1	19	18	53	33	25	9	16	12	5	
6	8	16	7	5	8	15	5	11	6	10	5	9	9	5	6	8	12	13	5	6	10	13	16	2	10	16	13	16	17	4	6	10	11	8	9	6	9	8	3	
2	9	14	13	7	11	3	10	14	12	15	17	3	14	10	7	8	7	10	6	10	14	15	12	4	10	11	13	12	8	4	12	17	14	12	21	8	11	6	2	
7	8	9	6	4	10	12	8	7	5	6	10	6	13	5	12	13	5	11	9	9	8	12	7	6	11	9	11	5	7	0	8	5	21	11	15	3	5	3	2	
