"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	
1942	1104	657	2869	2851	2628	1326	1438	2919	1443	1460	2009	1912	1567	1218	1890	1700	2046	1415	1983	2507	1309	973	3016	3151	1323	2035	1419	698	2263	2826	1431	1425	1191	1018	819	1597	1304	2227	2085	3072	1097	1175	3086	1514	2874	
1600	800	550	2400	2300	1900	1000	1200	2400	1200	1200	1600	1500	1200	1000	1500	1400	1600	1200	1500	2000	1000	800	2300	2400	1000	1600	1200	500	1700	2000	1100	1100	1000	750	800	1300	1000	1700	1700	2500	800	900	2500	1200	2200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
953	683	439	1995	1843	1550	788	1001	1937	771	936	1004	1194	944	754	1084	1088	1338	898	1251	1595	896	557	1772	1948	746	1301	926	377	1327	1773	774	1011	746	654	535	1063	709	1172	1295	2067	553	726	1859	1082	1988	
100	72	13	63	35	159	17	83	65	43	49	65	33	15	76	42	80	51	48	20	33	58	27	104	47	20	13	37	84	43	57	12	39	46	43	50	55	36	25	38	82	19	4	51	31	21	
547	45	98	342	422	191	195	116	398	386	215	531	273	241	170	374	232	211	254	229	372	46	216	424	405	234	286	237	39	330	170	314	50	208	53	215	182	255	503	367	351	228	170	590	87	191	
100	72	13	63	35	159	17	83	65	43	49	65	33	15	76	42	80	51	48	20	33	58	27	104	47	20	13	37	84	43	57	12	39	46	43	50	55	36	25	38	82	19	4	51	31	21	
953	683	439	1995	1843	1550	788	1001	1937	770	936	1004	1194	944	754	1084	1088	1338	898	1251	1595	896	557	1768	1944	746	1298	926	377	1327	1773	774	1011	742	654	535	1063	709	1172	1295	2067	553	726	1859	1082	1988	
4	0	3	14	23	18	6	8	22	14	11	10	13	6	11	24	15	18	7	22	34	11	7	11	18	8	21	10	4	13	20	11	10	6	6	3	10	6	13	16	17	5	8	16	6	26	
1049	755	449	2044	1855	1691	799	1076	1980	799	974	1059	1214	953	819	1102	1153	1371	939	1249	1594	943	577	1861	1973	758	1290	953	457	1357	1810	775	1040	782	691	582	1108	739	1184	1317	2132	567	722	1894	1107	1983	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	9	10	13	11	7	7	12	13	5	7	11	8	7	10	5	13	13	9	10	9	12	10	17	21	11	10	10	13	15	21	8	23	10	7	4	6	3	4	15	15	4	9	25	13	13	
129	49	61	279	239	236	108	114	251	78	103	112	187	126	105	137	136	189	122	187	246	154	63	238	268	118	180	134	58	184	268	69	145	85	66	79	121	77	142	121	319	67	127	276	179	314	
100	45	26	139	137	107	57	81	127	64	67	99	86	75	67	68	68	79	66	81	79	48	40	129	99	52	96	46	22	83	134	40	67	73	61	41	82	59	95	87	155	53	47	146	74	139	
780	634	338	1547	1387	1287	605	828	1522	630	775	812	885	711	614	862	895	1052	702	915	1198	696	442	1401	1490	544	958	727	346	1007	1320	630	734	580	538	441	869	576	900	1054	1568	418	511	1390	797	1439	
11	4	3	20	31	19	7	12	24	11	6	14	19	19	7	11	15	16	14	24	26	14	15	24	31	14	18	17	5	25	24	14	11	12	12	9	8	5	17	17	27	12	12	24	18	33	
13	6	5	26	25	18	6	16	24	8	10	7	11	9	9	4	10	11	12	10	17	7	4	26	30	8	8	8	4	17	24	9	30	6	3	5	4	11	17	12	23	6	8	16	9	23	
4	7	4	14	15	8	7	9	11	2	2	3	7	6	2	10	10	7	8	15	10	5	2	15	24	5	16	7	5	18	10	3	14	6	3	2	13	4	6	7	15	1	7	8	11	15	
3	1	2	6	10	9	2	4	8	1	4	1	11	0	5	5	6	4	6	7	9	7	1	11	10	6	4	4	4	8	9	2	16	10	1	1	5	4	3	4	10	6	1	9	6	7	
