"УИК №1585"	"УИК №1586"	"УИК №1587"	"УИК №1588"	"УИК №1589"	"УИК №1590"	"УИК №1591"	"УИК №1592"	"УИК №1593"	"УИК №1594"	"УИК №1595"	"УИК №1596"	"УИК №1597"	"УИК №1598"	"УИК №1599"	"УИК №1600"	"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	
1360	828	284	151	642	1714	1509	739	1106	1407	384	1734	1964	255	944	196	1213	1474	1543	1120	1132	271	87	532	326	601	1318	312	475	433	1016	316	922	986	1126	1938	2534	1872	913	
1360	830	270	140	660	1700	1500	740	1110	1460	380	1660	1920	250	930	180	1130	1390	1580	1110	1150	270	90	530	330	600	1300	300	460	430	1030	310	930	1000	1160	1990	2420	1760	780	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1095	740	206	129	580	825	1374	678	845	1298	341	1016	1074	179	759	149	1023	1290	962	983	1032	242	74	440	300	562	1252	261	443	390	742	285	806	903	942	1496	1982	1561	657	
61	77	19	9	34	45	45	24	72	81	28	84	36	40	46	13	57	33	48	89	89	11	12	33	22	34	26	30	12	27	78	17	54	53	127	35	29	103	89	
204	13	45	2	46	830	81	38	193	81	11	560	810	31	125	18	50	67	570	38	29	17	4	57	8	4	22	9	5	13	210	8	70	44	91	459	409	96	34	
61	77	19	9	34	45	45	24	72	81	28	84	36	40	46	13	57	33	48	89	89	11	12	33	22	34	26	30	12	27	78	17	54	53	127	35	29	103	89	
1095	740	206	129	580	824	1374	678	845	1298	341	1016	1074	179	759	149	1023	1290	914	983	1032	242	74	440	300	562	1252	261	443	390	742	285	806	903	942	1496	1982	1561	657	
8	1	0	0	0	9	0	3	0	0	1	19	5	0	6	0	0	6	13	0	0	0	0	2	2	0	5	1	0	2	7	0	9	0	0	0	5	0	4	
1148	816	225	138	614	860	1419	699	917	1379	368	1081	1105	219	799	162	1080	1317	949	1072	1121	253	86	471	320	596	1273	290	455	415	813	302	851	956	1069	1531	2006	1664	742	
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	2	3	0	4	3	7	1	0	6	0	7	5	0	4	0	3	6	4	2	3	0	0	0	1	0	4	1	0	1	3	0	1	0	5	8	8	0	5	
57	1	28	3	12	96	21	6	97	14	17	117	98	16	65	13	61	117	82	6	10	16	2	26	7	3	12	12	8	4	41	10	111	38	20	18	72	112	83	
21	10	11	3	21	47	16	13	38	28	10	68	48	9	38	3	34	62	61	62	5	6	0	22	5	1	17	4	3	2	21	3	13	7	19	20	32	19	25	
1052	795	179	128	567	693	1363	674	774	1296	333	854	939	188	668	141	962	1112	790	995	1096	229	84	411	305	592	1234	267	442	403	738	288	716	909	1004	1467	1842	1530	589	
1	3	1	2	4	6	3	1	6	7	5	16	4	1	14	4	12	12	5	1	2	2	0	4	1	0	3	3	1	1	5	1	4	0	3	4	25	1	23	
5	2	0	1	2	7	2	3	0	14	1	9	3	0	3	1	2	5	3	3	2	0	0	3	1	0	0	2	0	1	2	0	1	1	5	1	12	0	5	
5	1	1	0	3	5	5	0	1	13	1	5	5	3	5	0	3	3	1	0	2	0	0	2	0	0	3	1	0	2	2	0	4	1	11	11	9	0	4	
2	2	2	1	1	3	2	1	1	1	1	5	3	2	2	0	3	0	3	3	1	0	0	3	0	0	0	0	1	1	1	0	1	0	2	2	6	2	8	
