"УИК №4201"	"УИК №4202"	"УИК №4203"	"УИК №4204"	"УИК №4205"	"УИК №4206"	"УИК №4207"	"УИК №4208"	"УИК №4209"	"УИК №4210"	"УИК №4211"	"УИК №4212"	"УИК №4213"	"УИК №4214"	"УИК №4215"	"УИК №4216"	"УИК №4217"	"УИК №4218"	"УИК №4219"	"УИК №4220"	"УИК №4221"	"УИК №4222"	"УИК №4223"	"УИК №4224"	"УИК №4225"	"УИК №4226"	"УИК №4227"	"УИК №4228"	"УИК №4229"	"УИК №4230"	"УИК №4231"	"УИК №4232"	"УИК №4233"	"УИК №4234"	"УИК №4235"	"УИК №4236"	"УИК №4237"	"УИК №4238"	"УИК №4239"	"УИК №4240"	"УИК №4241"	"УИК №4242"	"УИК №4243"	"УИК №4244"	"УИК №4245"	"УИК №4246"	"УИК №4247"	"УИК №4248"	"УИК №4249"	"УИК №4250"	"УИК №4251"	"УИК №4252"	"УИК №4253"	"УИК №4254"	"УИК №4255"	"УИК №4256"	"УИК №4257"	"УИК №4258"	"УИК №4259"	"УИК №4260"	"УИК №4261"	"УИК №4262"	"УИК №4263"	"УИК №4264"	"УИК №4265"	"УИК №4266"	"УИК №4299"	
2263	1524	1541	1293	1393	2220	2645	2623	1644	2110	2554	2425	1487	2152	1506	2535	1306	1162	2633	1850	2985	2691	1181	2512	1860	1226	2581	246	1152	1867	199	1808	706	358	1515	1418	800	845	1180	443	1958	1797	1716	1744	1680	778	318	1388	929	888	2084	922	1124	1215	1332	1084	1256	1025	603	297	417	421	509	498	1655	1470	300	
2350	1549	1581	1312	1397	2225	2700	2693	1660	2199	2595	2474	1486	2241	1525	2597	1315	1178	2612	1927	2976	2713	1175	2571	1903	1285	2647	240	1181	1964	194	1839	725	365	1565	1440	793	843	1194	451	1978	1837	1753	1725	1704	773	311	1390	936	897	2220	950	1130	1236	1373	1102	1282	1035	613	298	433	425	500	501	1637	1510	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1440	775	1044	720	646	1284	1869	1440	911	1238	1650	1450	904	1301	1050	1670	705	640	1475	1119	1546	1743	561	1809	1463	893	2167	215	964	1486	162	1558	659	303	1345	1262	674	715	1073	253	1727	1605	1389	1605	1484	694	233	1080	757	764	1195	788	848	1099	1052	962	995	857	449	222	342	358	435	433	1304	763	19	
225	221	220	191	174	393	320	357	108	247	303	368	228	128	157	248	141	174	161	326	258	315	209	283	233	208	241	20	125	247	20	98	21	37	103	104	86	88	71	170	114	119	229	69	113	52	69	202	118	80	225	117	176	68	234	51	63	96	95	60	55	42	42	52	301	212	281	
685	553	317	401	577	548	511	896	641	714	642	656	354	812	318	679	469	364	976	482	1172	655	405	479	207	184	239	5	92	231	12	183	45	25	117	74	33	40	50	28	137	113	135	51	107	27	9	108	61	53	800	45	106	69	87	89	224	82	69	16	36	25	23	16	32	535	0	
225	221	220	191	174	393	320	357	108	247	303	368	228	128	157	248	141	174	161	326	258	315	209	283	233	208	241	20	125	247	20	98	21	37	103	104	86	88	71	170	114	119	229	69	113	52	69	202	118	80	225	117	176	68	234	51	63	96	95	60	55	42	42	52	301	212	281	
1440	774	1044	720	646	1284	1869	1440	911	1238	1650	1450	904	1301	1050	1670	705	640	1475	1119	1546	1743	561	1809	1463	893	2167	215	964	1486	162	1558	659	303	1345	1262	674	715	1073	253	1727	1605	1389	1605	1484	694	233	1080	757	764	1191	788	848	1099	1052	961	995	857	449	222	342	358	435	433	1304	763	19	
7	9	2	3	1	4	12	3	7	6	21	27	10	8	5	18	3	3	18	6	21	29	8	17	5	20	21	1	2	29	1	9	9	4	2	6	3	4	0	0	21	15	15	13	6	4	4	12	11	10	20	7	5	3	14	7	20	0	0	0	0	10	4	4	2	6	3	
1658	986	1262	908	819	1673	2177	1794	1012	1479	1932	1791	1122	1421	1202	1900	843	811	1618	1439	1783	2029	762	2075	1691	1081	2387	234	1087	1704	181	1647	671	336	1446	1360	757	799	1144	423	1820	1709	1603	1661	1591	742	298	1270	864	834	1396	898	1019	1164	1272	1005	1038	953	544	282	397	390	473	481	1603	969	297	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	10	15	4	2	13	7	7	5	8	6	10	11	2	3	8	6	4	13	6	14	20	6	5	7	6	9	2	2	8	2	4	1	2	3	7	4	2	7	6	5	6	6	1	4	7	4	3	1	6	4	3	2	1	7	5	8	0	1	2	2	3	5	3	5	10	1	
195	106	69	117	109	176	286	230	159	222	318	256	137	167	90	213	70	116	245	134	246	272	94	150	20	119	90	14	32	171	4	114	44	20	238	66	73	59	79	26	121	124	137	117	100	51	21	171	68	52	162	66	98	88	59	69	97	78	29	15	19	37	49	52	107	118	8	
35	66	101	51	26	71	54	76	53	55	62	56	67	27	24	105	32	32	83	82	86	118	46	105	74	62	38	4	10	99	13	79	40	13	20	42	36	38	42	36	88	121	74	91	70	47	11	24	42	41	96	44	32	26	75	34	41	42	20	9	8	26	14	12	52	51	10	
1380	784	1034	708	669	1378	1784	1430	756	1157	1504	1404	865	1205	1069	1521	718	643	1218	1189	1383	1573	604	1783	1562	863	2208	214	1040	1403	162	1433	578	297	1175	1223	621	688	1001	345	1579	1432	1366	1389	1396	621	255	1045	741	728	1111	771	878	1047	1109	884	875	824	490	252	363	316	396	405	1396	761	275	
9	6	3	6	3	13	11	13	19	7	16	22	16	9	7	24	7	5	24	8	24	16	2	10	11	8	7	0	1	4	0	8	2	2	2	4	12	3	2	5	6	9	6	3	5	1	4	9	8	3	9	7	3	0	3	4	3	1	0	1	2	0	2	5	18	4	1	
10	4	10	8	3	8	18	13	6	12	6	12	13	3	0	11	4	7	13	9	9	9	8	7	10	11	19	0	1	6	0	3	4	1	4	8	6	3	5	2	14	9	10	27	6	10	1	2	2	3	8	4	4	0	11	4	7	4	2	2	1	6	2	3	5	11	1	
6	5	12	11	5	9	13	21	9	10	12	11	7	5	8	12	4	3	12	8	11	13	1	11	5	8	5	0	1	11	0	2	2	0	2	10	4	4	4	2	3	6	1	22	6	4	0	12	1	1	5	3	2	2	6	2	4	4	2	1	2	1	2	1	16	12	0	
7	5	18	3	2	5	4	4	5	8	8	20	6	3	1	6	2	1	10	3	10	8	1	4	2	4	11	0	0	2	0	4	0	1	2	0	1	2	4	1	4	2	3	11	4	1	2	4	1	0	1	0	0	0	2	3	3	0	0	0	0	1	3	0	4	2	1	
