"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	
428	352	364	122	226	348	359	411	119	681	131	1019	439	702	471	246	319	785	917	504	471	132	396	168	393	548	1964	2103	2680	
440	380	400	129	240	385	375	430	119	735	165	1050	455	715	490	275	340	830	985	530	485	134	415	172	415	565	2025	2075	2775	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
325	277	285	50	168	264	291	341	88	524	110	548	294	493	312	191	270	567	570	348	321	95	303	116	297	416	1240	1217	1686	
41	31	36	24	25	38	23	58	21	85	12	116	46	121	129	37	32	99	92	37	124	21	37	23	64	92	96	178	196	
74	72	79	55	47	83	61	31	10	126	43	386	115	101	49	47	38	164	323	145	40	18	75	33	54	57	689	680	893	
41	31	36	24	25	38	23	58	21	85	12	116	46	121	129	37	32	99	92	37	124	21	37	23	64	92	96	178	196	
325	277	285	50	168	264	291	341	88	524	110	548	294	493	312	191	270	567	570	348	321	95	303	116	297	416	1240	1217	1686	
0	1	0	0	2	7	3	3	0	0	1	2	3	4	6	1	0	8	9	0	6	0	3	0	1	2	21	16	13	
366	307	321	74	191	295	311	396	109	609	121	662	337	610	435	227	302	658	653	385	439	116	337	139	360	506	1315	1379	1869	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	0	1	1	1	1	0	5	0	2	2	1	0	2	1	2	2	2	0	2	1	1	0	0	11	7	9	
12	14	14	3	19	21	22	33	8	67	20	71	14	69	33	7	10	55	47	8	24	4	31	12	5	13	219	259	360	
8	2	12	7	3	12	23	21	7	45	2	37	34	48	35	6	3	38	50	6	26	4	8	4	6	20	100	114	132	
339	289	293	62	166	257	260	339	94	489	99	545	276	486	357	206	285	550	543	364	382	105	292	116	343	473	951	972	1303	
4	1	1	0	1	1	0	0	0	1	0	2	6	3	5	2	2	2	7	0	1	0	1	2	1	0	12	5	18	
2	0	0	1	0	1	4	2	0	1	0	3	3	1	0	4	1	9	3	4	3	1	3	1	3	0	10	8	28	
0	0	0	0	0	2	1	0	0	1	0	1	0	1	3	0	0	2	0	0	3	0	1	2	1	0	10	9	14	
0	1	0	1	1	0	0	0	0	0	0	1	2	1	2	0	0	0	1	1	0	0	0	1	1	0	2	5	5	
