"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	6	11	8	6	15	14	7	12	7	6	10	5	4	13	5	7	3	6	7	6	4	13	12	2	8	11	7	12	7	12	17	8	9	9	3	7	4	0	2	1	4	1	6	7	7	7	8	4	3	9	2	2	6	7	11	11	7	0	2	0	1	3	7	13	6	9	8	8	5	11	8	3	3	10	11	7	4	2	1	3	10	6	7	15	0	12	12	12	7	16	7	10	11	11	10	11	17	7	11	14	4	10	12	10	11	10	13	6	4	13	13	13	6	14	7	13	3	4	16	16	14	11	9	4	10	8	15	19	9	6	17	16	
35	69	88	121	95	152	112	110	121	124	157	121	178	87	118	82	87	73	110	59	81	40	223	222	38	120	88	91	95	91	133	103	102	129	97	86	65	92	19	32	39	127	29	92	75	84	80	117	48	83	64	25	87	101	79	65	81	42	21	19	17	39	40	111	88	59	140	60	73	64	112	54	50	35	184	111	95	82	61	51	31	154	74	36	150	29	346	220	180	153	126	46	69	121	150	110	109	154	98	111	111	56	72	145	173	162	189	105	113	100	161	131	178	97	169	178	123	76	85	280	195	185	134	104	106	206	253	332	349	128	134	149	220	
21	40	56	74	14	71	58	50	65	65	127	49	168	29	76	46	52	45	55	27	168	21	98	73	17	39	60	61	62	56	67	50	58	63	32	80	58	80	20	19	22	77	20	52	23	53	50	74	29	35	29	18	60	54	80	44	41	32	14	2	8	52	14	54	53	32	92	33	41	44	78	39	26	23	100	84	56	35	60	46	15	64	39	21	63	15	101	60	58	72	70	28	49	51	51	49	62	71	56	55	65	27	28	53	61	75	73	48	42	34	69	45	55	26	50	85	58	28	27	82	55	96	61	39	35	57	67	111	107	53	73	52	147	
307	824	999	1920	1430	1168	1489	961	1051	1175	1214	1000	1519	764	1034	892	779	1212	909	807	1194	313	1719	1482	287	958	952	851	830	737	1467	868	796	1107	726	763	634	844	254	543	344	1037	607	836	1197	876	750	1182	299	688	445	508	1020	806	980	714	661	710	445	248	226	425	320	819	818	613	1440	739	765	673	1213	846	549	445	1714	1277	1477	661	599	529	541	1718	827	494	1760	321	1591	1134	1061	1145	1341	382	705	966	1167	1036	964	1116	1021	996	1012	494	682	1013	1162	1503	1064	823	947	602	1095	963	1178	618	858	1224	991	645	732	1748	1862	941	916	829	799	1163	1442	1471	1582	764	943	954	2148	
5	22	26	18	12	39	37	40	33	22	51	29	137	26	36	57	30	28	29	30	25	24	64	86	16	32	28	45	28	32	40	44	31	35	36	46	16	33	1	9	13	36	3	25	33	21	21	52	8	37	23	5	24	21	21	25	12	10	2	0	10	13	12	24	30	18	33	20	17	11	43	24	13	18	57	24	20	19	15	18	17	41	22	14	91	10	204	153	64	57	33	12	22	35	43	38	29	41	54	28	36	18	29	40	46	52	58	49	31	50	62	49	40	44	54	65	55	15	20	147	96	96	37	37	30	127	140	168	216	35	47	47	112	
6	7	3	8	5	13	4	6	7	4	10	7	12	3	4	6	2	8	3	5	9	0	11	11	1	9	12	3	6	9	13	5	5	10	10	4	11	8	3	4	1	9	7	4	2	6	5	10	5	5	5	4	5	8	8	6	4	3	1	2	2	3	2	3	10	3	13	3	4	5	10	5	3	2	10	10	6	9	5	0	2	9	3	3	6	2	6	11	9	6	14	3	10	9	12	10	14	12	7	16	14	3	4	13	14	8	9	6	10	5	12	7	7	6	7	5	8	13	1	11	3	10	6	8	4	8	4	10	14	6	6	14	18	
3	11	7	17	6	16	17	12	9	16	13	21	21	10	18	21	10	10	13	8	6	9	24	28	7	12	16	8	16	17	22	20	12	12	23	8	6	7	1	3	4	7	5	6	5	5	8	18	1	11	11	3	10	7	11	9	13	3	4	0	3	6	6	13	11	6	22	11	12	11	9	5	3	7	20	14	10	7	5	13	3	18	16	8	40	4	60	44	18	27	20	7	14	19	19	21	16	11	16	16	18	6	13	18	23	26	25	7	11	15	30	22	19	19	18	14	19	4	9	57	14	45	12	15	11	46	50	56	42	12	14	16	30	
8	10	11	12	11	19	27	16	17	21	11	15	28	15	15	19	12	24	15	16	13	13	47	53	8	34	23	25	26	27	27	21	22	31	29	7	7	21	1	6	4	4	7	16	15	6	5	28	6	19	19	5	9	16	8	8	14	8	2	0	5	2	1	13	16	1	17	9	12	19	18	14	5	8	23	15	13	13	9	7	14	16	8	8	54	4	80	74	35	32	24	13	16	18	26	23	17	34	22	23	24	14	13	32	44	31	36	26	37	24	44	30	17	31	27	21	30	10	14	82	32	48	33	29	22	45	60	94	72	19	30	28	40	
