"УИК №736"	"УИК №737"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1050"	"УИК №1051"	"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №2268"	
252	86	1833	345	121	352	103	148	151	115	473	225	266	93	52	55	173	62	838	71	
254	89	1804	343	120	358	96	149	147	107	476	196	252	93	53	50	177	56	823	68	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
185	73	1111	254	80	199	78	94	96	67	375	116	169	73	33	45	128	47	549	49	
8	3	76	36	20	28	7	12	30	16	22	60	32	2	6	5	16	6	64	5	
61	13	617	53	20	131	11	43	21	24	79	20	51	18	14	0	33	3	210	14	
8	3	76	36	20	28	7	12	30	16	22	60	32	2	6	5	16	6	64	5	
185	73	1111	254	80	199	78	94	96	67	375	116	169	73	33	45	128	47	548	49	
1	0	13	1	1	1	0	0	0	3	3	1	0	3	2	0	3	0	6	0	
192	76	1174	289	99	226	85	106	126	80	394	175	201	72	37	50	141	53	606	54	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	12	5	2	0	1	2	0	0	1	2	0	1	2	1	0	0	2	1	
28	5	209	22	8	5	2	6	12	7	45	14	26	0	2	5	12	3	108	6	
15	11	122	26	12	22	3	8	14	8	39	15	15	7	4	3	8	6	69	7	
146	58	789	229	75	196	76	87	100	65	303	142	153	63	28	40	121	43	407	40	
1	0	17	4	0	2	1	0	0	0	1	1	3	1	1	1	0	1	11	0	
1	1	13	2	2	0	0	3	0	0	1	1	2	0	0	0	0	0	3	0	
0	1	6	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	4	0	
0	0	6	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	2	0	
