"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	
1165	228	155	175	575	524	148	164	103	240	1621	1785	
1099	397	233	226	589	551	251	168	134	294	1312	1470	
225	0	17	0	162	150	13	95	41	26	68	0	
595	127	104	150	303	297	107	51	46	167	922	967	
116	67	6	10	24	16	16	8	0	20	169	261	
163	203	106	66	100	88	115	14	47	81	153	242	
341	67	23	10	186	166	29	103	41	46	237	261	
595	127	104	150	303	297	107	51	46	167	922	967	
5	2	0	2	6	6	0	0	0	3	17	16	
931	192	127	158	483	457	136	154	87	210	1142	1212	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

7	0	1	0	3	4	0	0	0	1	7	6	
96	36	7	22	81	69	5	9	1	22	137	93	
92	13	0	21	56	56	6	23	5	24	86	97	
709	141	115	105	335	308	121	120	78	157	885	998	
19	1	3	10	4	10	3	0	1	1	12	8	
2	1	1	0	2	6	1	0	2	1	4	5	
1	0	0	0	1	1	0	0	0	2	7	2	
5	0	0	0	1	3	0	2	0	2	4	3	
