"УИК №4601"	"УИК №4602"	"УИК №4603"	"УИК №4604"	"УИК №4605"	"УИК №4606"	"УИК №4607"	"УИК №4608"	"УИК №4609"	"УИК №4610"	"УИК №4611"	"УИК №4612"	"УИК №4613"	"УИК №4614"	"УИК №4615"	"УИК №4616"	"УИК №4617"	"УИК №4618"	"УИК №4619"	"УИК №4620"	"УИК №4621"	"УИК №4622"	"УИК №4623"	"УИК №4624"	"УИК №4625"	"УИК №4626"	
622	1412	415	978	319	2637	399	129	269	109	1559	312	1409	273	2402	122	185	261	123	1221	1498	882	465	472	1535	935	
618	1318	394	931	334	2656	393	140	239	106	1478	298	1399	268	2510	113	164	259	118	1148	1442	864	460	500	1517	889	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
533	1081	342	844	287	2308	314	91	186	95	1292	262	1235	238	1778	100	136	227	107	949	1265	801	374	383	1097	624	
68	149	15	85	20	200	67	32	53	10	114	36	75	30	93	13	19	26	9	153	132	58	54	75	116	55	
17	88	37	2	27	148	12	17	0	1	72	0	89	0	639	0	9	6	2	46	45	5	32	42	304	210	
68	149	15	85	20	200	67	32	53	10	114	36	75	30	93	13	19	26	9	153	132	58	54	75	116	55	
533	1081	342	844	287	2308	314	91	186	95	1292	262	1235	238	1776	100	136	227	107	949	1265	801	374	383	1097	624	
12	8	5	4	1	25	0	3	2	2	19	2	12	5	26	3	9	0	0	16	15	10	6	0	22	12	
589	1222	352	925	306	2483	381	120	237	103	1387	296	1298	263	1843	110	146	253	116	1086	1382	849	422	458	1191	667	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	9	3	4	2	7	0	1	0	0	9	1	4	2	4	0	1	1	1	6	1	6	1	5	7	5	
81	139	42	71	29	165	24	9	13	8	158	22	141	32	208	4	12	18	2	88	152	78	57	50	125	76	
39	106	24	63	9	110	18	1	3	7	98	21	67	11	104	6	10	12	4	75	93	43	20	15	81	47	
451	934	266	765	254	2164	335	109	214	86	1075	243	1036	213	1493	99	120	213	109	895	1103	701	337	380	938	515	
3	14	7	11	5	8	3	0	2	1	11	4	21	3	12	0	0	4	0	10	10	11	4	2	14	6	
10	5	4	6	5	16	1	0	3	1	15	5	14	2	8	1	2	1	0	11	14	5	1	3	14	9	
2	12	3	3	2	6	0	0	1	0	10	0	8	0	6	0	0	1	0	0	6	1	2	1	6	5	
0	3	3	2	0	7	0	0	1	0	11	0	7	0	8	0	1	3	0	1	3	4	0	2	6	4	
