"УИК №338"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	
332	135	326	212	273	277	226	167	195	118	662	1295	1401	156	125	132	170	
327	164	341	226	269	284	238	189	167	106	657	1400	1520	166	120	125	181	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
232	99	247	120	166	143	113	63	111	60	344	619	852	85	74	76	85	
39	16	36	27	55	41	33	27	53	37	108	130	75	33	19	12	23	
56	49	58	79	48	100	92	99	3	9	205	651	593	48	27	37	73	
39	16	36	27	55	41	33	27	53	37	108	130	75	33	19	12	23	
232	99	247	120	166	143	113	63	111	60	344	619	852	85	74	76	85	
0	2	2	0	2	0	0	1	0	0	2	6	13	1	3	0	10	
271	113	281	147	219	184	146	89	164	97	450	743	914	117	90	88	98	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	2	0	3	3	0	0	3	2	3	4	10	0	0	1	0	
16	7	10	2	9	14	7	8	8	3	45	74	93	10	3	3	4	
10	5	3	2	15	15	6	1	1	6	34	43	55	10	9	1	4	
242	99	264	138	189	151	130	80	150	84	362	603	719	93	78	81	89	
0	0	0	1	2	0	1	0	1	2	2	12	19	1	0	1	1	
2	1	1	4	0	1	0	0	1	0	3	2	6	1	0	0	0	
0	1	1	0	0	0	1	0	0	0	1	4	6	1	0	0	0	
0	0	0	0	1	0	1	0	0	0	0	1	6	1	0	1	0	
