"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	
1498	1703	270	147	182	135	266	278	145	232	298	91	
1300	1400	270	150	190	135	270	275	145	230	300	95	
0	0	0	0	0	0	0	0	0	0	0	0	
661	721	136	58	101	65	106	146	83	77	94	36	
34	61	34	31	9	17	53	25	10	49	69	11	
605	618	100	61	80	53	111	104	52	104	137	48	
34	61	34	31	9	17	53	25	10	49	69	11	
661	721	136	58	101	65	106	146	83	77	94	36	
8	5	1	0	2	0	0	2	0	0	2	0	
687	777	169	89	108	82	159	169	93	126	161	47	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

4	7	0	2	0	0	0	1	1	1	3	2	
179	152	13	6	7	7	16	21	20	15	33	17	
48	43	13	8	11	4	12	11	10	3	9	4	
439	553	140	69	89	70	127	134	58	102	115	23	
8	11	0	0	1	0	0	1	2	2	0	0	
3	7	3	4	0	1	2	0	2	1	0	1	
2	3	0	0	0	0	1	1	0	2	0	0	
4	1	0	0	0	0	1	0	0	0	1	0	
