"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1609"	"УИК №1610"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1617"	
1426	935	847	813	270	429	356	156	811	151	217	96	549	190	
1444	945	869	1027	294	433	381	164	810	153	216	102	548	198	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1058	638	606	710	233	372	306	115	686	128	195	82	421	163	
191	122	49	103	21	36	23	15	69	13	15	9	36	20	
195	185	214	214	40	25	52	34	55	12	6	11	91	15	
191	122	49	103	21	36	23	15	69	13	15	9	36	20	
1058	638	606	710	233	372	306	115	686	128	195	82	421	163	
2	2	3	0	3	0	1	1	0	3	0	0	0	0	
1247	758	652	813	251	408	328	129	755	138	210	91	457	183	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

21	16	3	9	4	1	2	0	2	1	0	1	1	1	
29	14	27	16	11	9	18	14	39	12	8	10	41	8	
36	24	34	38	29	23	28	12	49	21	11	5	42	10	
1102	689	574	730	199	369	274	100	656	103	189	70	363	163	
21	2	5	2	2	3	3	2	6	0	1	1	6	0	
14	5	6	5	2	1	2	1	1	0	0	2	2	1	
14	7	2	7	2	1	1	0	2	1	1	1	0	0	
10	1	1	6	2	1	0	0	0	0	0	1	2	0	
