"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	
640	696	988	1370	338	542	352	454	572	377	662	249	239	
660	682	970	1348	307	714	358	455	714	407	644	274	258	
0	0	0	0	0	0	0	0	0	0	0	0	0	
590	655	931	958	298	507	306	401	503	369	505	214	185	
42	18	32	44	7	32	41	48	50	8	120	35	47	
28	9	7	346	2	175	11	6	161	30	19	25	26	
42	18	32	44	7	32	41	48	50	8	120	35	47	
590	655	931	957	298	507	306	401	503	369	505	214	185	
6	3	4	0	2	4	1	3	8	1	2	0	0	
626	670	959	1001	303	535	346	446	545	376	623	249	232	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	2	4	0	1	0	0	2	0	0	0	0	
30	6	47	66	7	10	3	3	20	2	10	1	1	
26	1	48	48	3	3	0	0	5	2	0	1	2	
554	659	848	863	288	515	339	440	513	371	610	246	228	
9	2	8	10	3	4	2	2	1	0	3	1	1	
1	1	3	5	1	2	2	0	2	1	0	0	0	
1	1	2	4	0	0	0	1	0	0	0	0	0	
2	0	1	1	1	0	0	0	2	0	0	0	0	
