"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1931"	"УИК №1932"	"УИК №1933"	"УИК №1934"	"УИК №1935"	"УИК №1936"	"УИК №1937"	"УИК №1938"	"УИК №1939"	"УИК №1940"	"УИК №1941"	"УИК №1942"	"УИК №1943"	"УИК №1944"	"УИК №1945"	"УИК №1946"	"УИК №1947"	"УИК №1948"	"УИК №1949"	"УИК №1950"	"УИК №1951"	"УИК №1952"	"УИК №1953"	"УИК №1954"	"УИК №1955"	"УИК №1956"	"УИК №1957"	"УИК №1958"	"УИК №1959"	"УИК №1960"	"УИК №1961"	"УИК №1962"	"УИК №1963"	"УИК №1964"	"УИК №1965"	"УИК №1966"	"УИК №1967"	"УИК №1968"	"УИК №1969"	"УИК №1970"	"УИК №1971"	"УИК №1972"	"УИК №1973"	"УИК №1974"	"УИК №1975"	"УИК №1976"	
1209	1224	1611	1306	2516	825	136	1284	202	1635	1538	1588	1772	1551	1630	1635	1656	2067	2025	1200	1341	1221	1185	699	2233	2345	2045	556	1445	431	476	2127	1728	1634	731	569	2048	1725	1982	225	2944	2282	505	851	1699	600	861	300	238	223	280	2506	429	311	2392	840	2018	608	229	926	821	1087	1336	1423	691	104	241	1552	1801	754	421	390	384	1543	621	588	
1230	1212	1629	1329	2226	787	165	1308	218	1571	1556	1580	1747	1556	1664	1698	1679	1717	1719	1187	1369	1157	1101	576	2173	2344	1790	558	1403	450	479	2153	1728	1680	792	578	2024	1648	1934	229	2550	2071	466	814	1595	631	847	291	254	221	316	2521	425	299	2473	831	1901	599	220	831	832	1150	1283	1407	725	118	241	1509	1786	772	422	356	398	1419	601	504	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1144	852	1305	1044	1747	715	105	885	177	1153	1274	1119	1229	1292	1427	1299	1066	1541	1578	786	1019	803	721	517	1860	1408	1199	523	1141	295	425	1495	1587	1521	687	400	1409	1457	1278	201	1826	1902	335	683	1267	568	731	260	216	181	250	1678	353	230	1933	693	1286	523	220	797	705	884	845	949	479	104	209	963	1154	463	316	322	326	1193	486	483	
26	24	34	40	47	12	1	48	18	9	24	69	30	28	40	34	18	56	54	37	56	342	199	13	40	19	25	11	70	45	6	42	28	11	8	25	13	22	35	11	28	19	24	8	28	11	18	14	6	3	15	158	15	13	24	9	32	9	0	5	22	37	85	47	30	0	5	39	30	90	11	25	6	29	12	7	
60	336	290	245	432	60	59	375	23	409	258	392	488	236	197	365	595	120	87	364	294	12	181	46	273	917	566	24	192	110	48	616	113	148	97	153	602	169	621	17	696	150	107	123	300	52	98	17	32	37	51	685	57	56	516	129	583	67	0	29	105	229	353	411	216	14	27	507	602	219	95	9	66	197	103	14	
26	24	34	40	47	12	1	48	18	9	24	69	30	28	40	34	18	56	54	37	56	342	199	13	40	19	25	11	70	45	6	42	28	11	8	25	13	22	35	11	28	19	24	8	28	11	18	14	6	3	15	158	15	13	24	9	32	9	0	5	22	37	85	47	30	0	5	39	30	90	11	25	6	29	12	7	
1123	852	1305	1044	1747	715	105	885	177	1153	1274	1119	1199	1292	1427	1299	1066	1541	1578	786	1019	803	721	512	1860	1408	1199	523	1141	295	425	1495	1587	1521	687	375	1409	1457	1278	201	1826	1902	335	683	1267	568	731	260	216	181	250	1678	353	230	1933	693	1286	523	220	797	705	884	845	949	479	104	209	963	1153	463	316	322	326	1193	486	483	
0	2	1	0	30	2	0	12	0	21	11	40	9	20	7	30	20	12	9	6	1	4	10	0	36	11	8	0	7	3	3	24	1	3	3	7	17	11	17	0	0	0	0	2	8	0	3	2	2	1	1	35	0	0	31	10	15	6	0	6	10	7	2	12	3	1	1	14	0	0	0	0	0	21	8	4	
1149	874	1338	1084	1764	725	106	921	195	1141	1287	1148	1220	1300	1460	1303	1064	1585	1623	817	1074	1141	910	525	1864	1416	1216	534	1204	337	428	1513	1614	1529	692	393	1405	1468	1296	212	1854	1921	359	689	1287	579	746	272	220	183	264	1801	368	243	1926	692	1303	526	220	796	717	914	928	984	506	103	213	988	1183	553	327	347	332	1201	490	486	
