"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	
229	291	86	140	129	501	94	78	842	180	73	188	228	427	184	126	371	108	55	472	763	208	238	277	236	728	126	230	243	1270	1744	1398	
220	260	70	120	120	460	70	60	800	170	60	150	200	400	150	100	350	100	50	400	650	185	200	250	200	670	110	210	215	1100	1600	1300	
0	0	0	0	0	0	0	0	0	0	0	0	44	52	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	
98	113	49	78	75	256	43	36	447	91	37	102	65	130	66	53	184	54	40	227	392	101	133	70	127	335	58	69	116	647	893	713	
10	40	9	9	4	22	12	12	45	14	11	11	11	25	28	11	21	6	0	25	42	15	5	13	11	48	21	13	17	29	60	52	
112	107	12	33	41	182	15	12	308	65	12	37	80	193	56	36	145	40	10	148	216	69	62	130	62	287	31	128	82	424	647	535	
10	40	9	9	4	22	12	12	45	14	11	11	55	77	28	11	21	6	0	25	42	15	5	50	11	48	21	13	17	29	60	52	
98	113	49	78	75	256	43	36	447	91	37	102	65	130	66	53	184	54	40	227	392	101	133	70	127	335	58	69	116	647	893	713	
0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	0	0	1	5	13	10	
108	153	58	87	78	278	54	48	490	105	48	112	120	207	94	63	204	60	40	251	433	115	137	120	138	382	79	82	132	671	940	755	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	0	0	4	2	0	6	0	1	0	0	0	0	1	1	0	1	5	2	1	2	2	4	3	4	0	0	6	9	3	
5	7	5	8	4	32	5	3	43	14	2	15	22	5	8	2	13	1	5	11	43	11	24	4	32	59	10	2	8	71	110	108	
14	14	3	16	15	18	9	12	58	8	7	11	9	31	11	5	31	5	4	26	47	13	15	9	14	29	9	11	15	70	78	80	
86	130	49	59	58	213	37	30	362	83	36	84	85	166	73	54	149	52	28	207	333	88	91	103	84	281	54	66	109	499	703	535	
2	2	0	1	1	7	0	2	9	0	1	1	2	2	1	1	4	2	0	0	3	1	1	1	2	3	0	1	0	10	13	13	
0	0	0	2	0	0	1	0	4	0	0	0	0	2	1	0	2	0	0	1	3	1	1	0	1	3	2	0	0	5	8	4	
1	0	0	0	0	3	0	0	6	0	1	0	1	1	0	0	2	0	1	0	1	0	3	1	1	3	0	0	0	4	17	7	
0	0	0	1	0	1	0	1	2	0	0	1	1	0	0	0	2	0	1	1	1	0	0	0	0	1	0	2	0	6	2	5	
